nThread;timeInt;user;real;sys;pCPU
2;0.016127;0.217;0.204;0.004;108.41
2;0.015822;0.213;0.204;0.008;108.31
2;0.016014;0.217;0.204;0.004;108.39
2;0.015875;0.217;0.204;0.004;108.34
2;0.015393;0.199;0.203;0.021;108.11
2;0.016202;0.214;0.205;0.008;108.24
2;0.014922;0.211;0.203;0.008;107.91
2;0.016343;0.202;0.209;0.024;108.40
2;0.015982;0.212;0.206;0.012;108.29
2;0.015884;0.216;0.207;0.008;108.22
2;0.016303;0.219;0.206;0.004;108.47
2;0.015932;0.214;0.205;0.008;108.32
2;0.015284;0.212;0.204;0.008;108.05
2;0.017378;0.231;0.212;0.000;109.15
2;0.016127;0.207;0.216;0.027;108.07
2;0.016428;0.218;0.208;0.008;108.53
2;0.015101;0.205;0.204;0.016;108.05
2;0.016098;0.204;0.207;0.020;108.44
2;0.015740;0.205;0.204;0.016;108.33
2;0.017057;0.213;0.206;0.012;108.89
2;0.014971;0.205;0.205;0.016;107.91
2;0.015944;0.218;0.204;0.004;108.43
2;0.016187;0.218;0.205;0.004;108.54
2;0.015727;0.205;0.204;0.016;108.33
2;0.015832;0.206;0.204;0.016;108.39
2;0.016382;0.218;0.205;0.004;108.61
2;0.016004;0.222;0.204;0.000;108.52
2;0.015912;0.217;0.204;0.004;108.43
2;0.016130;0.210;0.205;0.012;108.57
2;0.016228;0.214;0.205;0.008;108.56
2;0.015043;0.212;0.204;0.008;108.03
2;0.014853;0.199;0.203;0.020;107.92
2;0.015008;0.220;0.203;0.000;108.00
2;0.014771;0.211;0.203;0.008;107.90
2;0.021362;0.217;0.211;0.016;110.46
2;0.014900;0.213;0.205;0.008;107.90
2;0.016233;0.221;0.207;0.004;108.45
2;0.016252;0.214;0.205;0.008;108.53
2;0.016208;0.218;0.205;0.004;108.51
2;0.015760;0.213;0.204;0.008;108.30
2;0.014886;0.215;0.203;0.004;107.92
2;0.016103;0.210;0.204;0.012;108.47
2;0.015846;0.221;0.204;0.000;108.35
2;0.016004;0.209;0.204;0.012;108.41
2;0.014820;0.199;0.203;0.020;107.89
2;0.015301;0.208;0.204;0.012;108.11
2;0.015075;0.217;0.205;0.004;108.02
2;0.016294;0.216;0.211;0.012;108.39
2;0.015245;0.212;0.204;0.008;108.11
2;0.015047;0.217;0.204;0.004;107.99
2;0.015995;0.210;0.205;0.012;108.40
2;0.016048;0.214;0.206;0.008;108.07
2;0.014836;0.208;0.204;0.012;107.71
2;0.016087;0.219;0.206;0.004;108.16
2;0.015836;0.211;0.205;0.012;108.20
2;0.015840;0.214;0.206;0.008;108.09
2;0.014969;0.216;0.205;0.004;107.55
2;0.014846;0.213;0.205;0.008;107.57
2;0.016255;0.203;0.206;0.020;108.37
2;0.015922;0.214;0.205;0.008;108.20
2;0.016462;0.219;0.206;0.004;108.27
2;0.016257;0.207;0.205;0.016;108.45
2;0.016304;0.210;0.205;0.012;108.59
2;0.015263;0.201;0.205;0.020;107.68
2;0.015885;0.222;0.206;0.000;107.97
2;0.016021;0.210;0.205;0.012;108.22
2;0.015864;0.210;0.205;0.012;108.13
2;0.015554;0.221;0.205;0.000;108.06
2;0.016062;0.207;0.205;0.016;108.22
2;0.015949;0.214;0.205;0.008;108.18
2;0.015928;0.222;0.205;0.000;108.23
2;0.016348;0.199;0.206;0.023;108.34
2;0.016556;0.215;0.206;0.008;108.51
2;0.016153;0.211;0.206;0.012;108.31
2;0.015947;0.213;0.204;0.008;108.43
2;0.015790;0.222;0.205;0.000;108.17
2;0.015976;0.214;0.205;0.008;108.21
2;0.015896;0.219;0.206;0.004;108.13
2;0.015980;0.207;0.205;0.016;108.24
2;0.015779;0.222;0.205;0.000;108.16
2;0.015809;0.208;0.208;0.016;108.02
2;0.015368;0.210;0.206;0.012;107.92
2;0.015459;0.218;0.206;0.004;107.89
2;0.016260;0.216;0.206;0.008;108.54
2;0.015287;0.211;0.206;0.012;108.05
2;0.015215;0.218;0.206;0.004;108.02
2;0.014947;0.217;0.205;0.004;107.94
2;0.016206;0.220;0.206;0.004;108.51
2;0.016126;0.210;0.205;0.012;108.50
2;0.015053;0.205;0.205;0.016;108.00
2;0.015135;0.217;0.204;0.004;108.04
2;0.015374;0.217;0.204;0.004;108.17
2;0.015700;0.209;0.204;0.012;108.32
2;0.015786;0.218;0.204;0.004;108.36
2;0.016036;0.222;0.205;0.000;108.47
2;0.015185;0.213;0.204;0.008;108.06
2;0.015753;0.202;0.206;0.020;108.11
2;0.015257;0.213;0.205;0.008;107.71
2;0.015860;0.198;0.205;0.024;108.19
2;0.015949;0.218;0.205;0.004;108.22
2;0.015915;0.218;0.205;0.004;108.19
2;0.015841;0.203;0.205;0.019;108.18
2;0.015972;0.214;0.205;0.008;108.23
2;0.015875;0.208;0.207;0.016;108.17
2;0.016133;0.218;0.205;0.004;108.52
2;0.016374;0.223;0.205;0.000;108.62
2;0.014892;0.220;0.204;0.000;107.94
2;0.016342;0.211;0.205;0.012;108.60
2;0.015826;0.214;0.204;0.008;108.37
2;0.015038;0.212;0.204;0.008;108.02
2;0.022040;0.230;0.222;0.016;110.76
2;0.016272;0.226;0.213;0.004;107.69
2;0.015372;0.217;0.209;0.008;107.56
2;0.016311;0.205;0.208;0.020;107.92
2;0.015637;0.229;0.228;0.016;107.36
2;0.015984;0.209;0.204;0.012;108.40
