nThread;timeInt;user;real;sys;pCPU
1;0.028734;0.209;0.233;0.024;100.04
1;0.028675;0.218;0.218;0.000;100.01
1;0.029319;0.210;0.218;0.008;100.01
1;0.028786;0.217;0.217;0.000;100.01
1;0.028859;0.213;0.217;0.004;100.01
1;0.028959;0.206;0.217;0.012;100.02
1;0.028961;0.213;0.217;0.004;100.01
1;0.029327;0.215;0.219;0.004;100.01
1;0.028912;0.193;0.217;0.024;100.01
1;0.029525;0.211;0.219;0.008;100.01
1;0.029430;0.212;0.220;0.008;100.01
1;0.028904;0.209;0.217;0.008;100.01
1;0.028722;0.205;0.217;0.012;100.01
1;0.028804;0.213;0.217;0.004;100.01
1;0.028839;0.209;0.217;0.008;99.99
1;0.028740;0.205;0.217;0.012;100.01
1;0.031249;0.212;0.220;0.008;100.01
1;0.031276;0.212;0.220;0.008;100.01
1;0.029133;0.218;0.218;0.000;100.01
1;0.029432;0.214;0.218;0.004;100.01
1;0.029106;0.207;0.219;0.012;100.01
1;0.030082;0.211;0.219;0.008;100.01
1;0.029099;0.215;0.219;0.004;100.02
1;0.030239;0.207;0.219;0.012;100.01
1;0.028839;0.201;0.217;0.016;100.01
1;0.030667;0.203;0.219;0.016;100.02
1;0.031149;0.208;0.220;0.012;100.01
1;0.028831;0.213;0.217;0.004;100.01
1;0.028971;0.209;0.217;0.008;100.01
1;0.031619;0.212;0.220;0.008;100.01
1;0.028905;0.213;0.217;0.004;100.01
1;0.031357;0.208;0.220;0.012;100.01
1;0.030329;0.207;0.220;0.012;99.61
1;0.028935;0.206;0.219;0.012;99.62
1;0.028850;0.217;0.217;0.000;100.01
1;0.028954;0.205;0.217;0.012;100.01
1;0.028936;0.217;0.217;0.000;100.01
1;0.028888;0.205;0.217;0.012;100.02
1;0.030595;0.210;0.222;0.012;100.01
1;0.028899;0.210;0.218;0.008;100.01
1;0.029267;0.218;0.218;0.000;100.02
1;0.028793;0.213;0.217;0.004;100.01
1;0.029794;0.215;0.219;0.004;100.01
1;0.028987;0.202;0.218;0.016;100.01
1;0.028975;0.213;0.217;0.004;100.02
1;0.028932;0.201;0.217;0.016;100.01
1;0.028971;0.205;0.217;0.012;100.01
1;0.030377;0.200;0.220;0.020;100.01
1;0.029114;0.207;0.218;0.012;100.01
1;0.029109;0.214;0.218;0.004;100.01
1;0.029182;0.210;0.218;0.008;100.01
1;0.028920;0.234;0.246;0.012;100.01
1;0.028830;0.213;0.217;0.004;100.01
1;0.028833;0.209;0.217;0.008;100.01
1;0.028666;0.201;0.217;0.016;100.01
1;0.028848;0.213;0.217;0.004;100.01
1;0.028982;0.209;0.217;0.008;100.01
1;0.029036;0.213;0.217;0.004;100.02
1;0.029048;0.217;0.217;0.000;100.01
1;0.029027;0.202;0.218;0.016;100.00
1;0.031273;0.216;0.220;0.004;100.01
1;0.028846;0.209;0.217;0.008;100.01
1;0.028885;0.201;0.217;0.016;100.01
1;0.029227;0.218;0.218;0.000;100.01
1;0.028855;0.209;0.217;0.008;100.01
1;0.028707;0.205;0.217;0.012;100.01
1;0.028777;0.217;0.217;0.000;100.01
1;0.028789;0.213;0.217;0.004;100.01
1;0.028910;0.201;0.217;0.016;100.01
1;0.028775;0.213;0.217;0.004;100.01
1;0.028798;0.205;0.217;0.012;100.01
1;0.028787;0.213;0.217;0.004;100.01
1;0.028822;0.217;0.217;0.000;100.01
1;0.028705;0.223;0.234;0.012;100.01
1;0.028793;0.217;0.217;0.000;100.01
1;0.028682;0.213;0.217;0.004;100.01
1;0.028744;0.205;0.217;0.012;100.01
1;0.028813;0.201;0.217;0.016;100.00
1;0.028808;0.213;0.217;0.004;100.01
1;0.030971;0.220;0.220;0.000;99.85
1;0.028707;0.209;0.217;0.008;100.01
1;0.028685;0.213;0.217;0.004;100.01
1;0.028739;0.213;0.217;0.004;100.01
1;0.028852;0.209;0.217;0.008;100.01
1;0.028797;0.213;0.217;0.004;100.01
1;0.028908;0.202;0.217;0.016;100.01
1;0.028723;0.229;0.241;0.012;100.01
1;0.028936;0.209;0.217;0.008;100.01
1;0.028729;0.205;0.217;0.012;100.01
1;0.028689;0.201;0.217;0.016;100.01
1;0.028761;0.209;0.217;0.008;100.01
1;0.028763;0.205;0.217;0.012;100.02
1;0.028763;0.209;0.217;0.008;100.01
1;0.028746;0.205;0.217;0.012;100.01
1;0.030063;0.203;0.219;0.016;100.01
1;0.028937;0.213;0.217;0.004;100.01
1;0.028968;0.206;0.217;0.012;100.01
1;0.028884;0.209;0.217;0.008;100.01
1;0.030056;0.220;0.220;0.000;100.01
1;0.028877;0.216;0.219;0.004;100.01
1;0.028789;0.209;0.217;0.008;100.01
1;0.028715;0.205;0.217;0.012;100.01
1;0.028840;0.217;0.217;0.000;100.01
1;0.029639;0.211;0.219;0.008;100.01
1;0.029372;0.231;0.243;0.012;100.01
1;0.029195;0.215;0.219;0.004;100.01
1;0.029313;0.199;0.219;0.020;100.02
1;0.028794;0.206;0.218;0.012;100.01
1;0.028784;0.201;0.217;0.016;100.00
1;0.028737;0.210;0.218;0.008;100.01
1;0.028738;0.213;0.217;0.004;100.01
1;0.029729;0.207;0.218;0.012;100.00
1;0.029394;0.212;0.220;0.008;100.01
1;0.028918;0.201;0.217;0.016;99.99
1;0.028756;0.209;0.217;0.008;100.02
1;0.029281;0.206;0.219;0.012;100.01
1;0.029062;0.203;0.219;0.016;100.01
1;0.029982;0.202;0.218;0.016;100.01
1;0.028983;0.210;0.218;0.008;100.01
1;0.028914;0.194;0.217;0.024;100.02
1;0.029043;0.198;0.218;0.020;100.00
1;0.029076;0.211;0.219;0.008;100.01
1;0.029748;0.212;0.220;0.008;100.01
1;0.029284;0.195;0.219;0.024;100.01
1;0.028889;0.213;0.217;0.004;100.01
1;0.028818;0.213;0.217;0.004;100.01
1;0.028827;0.213;0.217;0.004;100.00
1;0.029261;0.201;0.218;0.016;100.01
1;0.029369;0.214;0.218;0.004;100.01
1;0.029146;0.214;0.219;0.004;99.60
1;0.029253;0.206;0.219;0.012;99.57
1;0.031654;0.205;0.222;0.016;99.57
1;0.029536;0.218;0.219;0.000;99.61
1;0.028940;0.210;0.218;0.008;99.85
1;0.029745;0.202;0.219;0.016;99.62
1;0.028981;0.202;0.218;0.016;99.80
1;0.028775;0.214;0.218;0.004;99.85
1;0.028997;0.198;0.218;0.020;99.81
1;0.028966;0.206;0.218;0.012;99.83
1;0.029180;0.210;0.219;0.008;99.59
1;0.028944;0.214;0.218;0.004;100.01
1;0.029253;0.206;0.219;0.012;99.62
1;0.029786;0.247;0.252;0.004;99.57
1;0.029324;0.194;0.219;0.024;99.61
1;0.029218;0.214;0.219;0.004;99.59
1;0.029491;0.214;0.219;0.004;99.60
1;0.029223;0.206;0.219;0.012;99.57
1;0.028978;0.210;0.218;0.008;100.01
1;0.029300;0.206;0.218;0.012;100.01
1;0.029001;0.210;0.218;0.008;100.00
1;0.029364;0.210;0.218;0.008;100.02
1;0.029612;0.219;0.219;0.000;100.01
1;0.029212;0.202;0.219;0.016;99.60
1;0.028854;0.209;0.217;0.008;100.01
1;0.030754;0.211;0.219;0.008;100.01
1;0.028611;0.217;0.217;0.000;100.01
1;0.029008;0.201;0.217;0.016;100.01
1;0.029425;0.207;0.218;0.012;100.01
1;0.029242;0.214;0.218;0.004;100.01
1;0.029642;0.196;0.220;0.024;100.01
1;0.029249;0.210;0.218;0.008;100.02
1;0.028824;0.205;0.217;0.012;100.01
1;0.028805;0.205;0.217;0.012;100.01
1;0.028733;0.213;0.217;0.004;100.01
1;0.030924;0.207;0.219;0.012;100.01
1;0.028782;0.209;0.217;0.008;100.01
1;0.028908;0.205;0.217;0.012;100.01
1;0.028671;0.213;0.217;0.004;99.99
1;0.028880;0.217;0.217;0.000;100.02
1;0.031027;0.200;0.219;0.020;100.02
1;0.028816;0.213;0.217;0.004;100.01
1;0.028816;0.205;0.217;0.012;100.01
1;0.031356;0.208;0.220;0.012;100.01
1;0.028863;0.213;0.217;0.004;100.01
1;0.028796;0.213;0.217;0.004;100.01
1;0.028920;0.213;0.217;0.004;100.02
1;0.031456;0.212;0.220;0.008;99.99
1;0.029086;0.202;0.218;0.016;100.01
1;0.029513;0.216;0.221;0.004;99.57
1;0.029011;0.209;0.217;0.008;100.01
1;0.029001;0.202;0.217;0.016;100.01
1;0.029671;0.210;0.218;0.008;100.01
1;0.029126;0.216;0.220;0.004;100.01
1;0.029607;0.219;0.219;0.000;100.01
1;0.029215;0.215;0.219;0.004;100.01
1;0.030049;0.211;0.219;0.008;100.01
1;0.029104;0.202;0.219;0.016;99.59
1;0.028898;0.218;0.219;0.000;99.57
1;0.028941;0.197;0.217;0.020;100.01
1;0.029014;0.213;0.217;0.004;100.01
1;0.028895;0.209;0.217;0.008;100.01
1;0.028983;0.209;0.217;0.008;100.01
1;0.029041;0.205;0.217;0.012;100.00
1;0.028958;0.214;0.218;0.004;100.01
1;0.029204;0.206;0.218;0.012;100.01
1;0.028902;0.205;0.217;0.012;100.01
1;0.029112;0.218;0.217;0.000;100.01
1;0.028963;0.206;0.217;0.012;100.01
1;0.029001;0.205;0.217;0.012;100.01
1;0.028864;0.209;0.217;0.008;100.01
