nThread;timeInt;user;real;sys;pCPU
16;0.002181;0.006;0.005;0.005;224.55
16;0.002379;0.011;0.005;0.000;218.81
16;0.002198;0.000;0.005;0.011;224.11
16;0.002178;0.011;0.005;0.000;230.59
16;0.002274;0.011;0.005;0.000;226.17
16;0.002261;0.008;0.005;0.003;218.26
16;0.002360;0.011;0.005;0.000;221.97
16;0.002210;0.006;0.005;0.005;223.78
16;0.002034;0.003;0.005;0.008;226.71
16;0.002191;0.011;0.005;0.000;220.81
16;0.002291;0.006;0.005;0.005;214.22
16;0.002327;0.011;0.005;0.000;214.46
16;0.002288;0.011;0.005;0.000;227.72
16;0.002288;0.006;0.005;0.006;222.39
16;0.002229;0.011;0.005;0.000;223.97
16;0.002227;0.012;0.005;0.000;232.43
16;0.002232;0.006;0.005;0.006;230.84
16;0.002387;0.012;0.005;0.000;224.15
16;0.002220;0.011;0.005;0.000;220.35
16;0.002105;0.011;0.005;0.000;228.58
16;0.002094;0.011;0.005;0.000;230.72
16;0.002081;0.003;0.005;0.008;217.97
16;0.002197;0.011;0.005;0.000;225.09
16;0.002200;0.002;0.005;0.009;225.18
16;0.002182;0.010;0.005;0.001;229.36
16;0.002238;0.011;0.005;0.000;228.52
16;0.002316;0.001;0.005;0.010;221.98
16;0.002066;0.011;0.005;0.000;232.47
16;0.002184;0.011;0.005;0.000;216.11
16;0.002137;0.011;0.005;0.000;229.11
16;0.002179;0.004;0.005;0.007;226.16
16;0.002300;0.003;0.005;0.008;216.60
16;0.002195;0.011;0.005;0.000;225.24
16;0.002159;0.006;0.005;0.006;229.02
16;0.002288;0.006;0.005;0.006;233.62
16;0.002158;0.011;0.005;0.000;224.50
16;0.002194;0.006;0.005;0.006;227.75
16;0.002202;0.011;0.005;0.000;226.85
16;0.002231;0.012;0.005;0.000;226.25
16;0.002341;0.006;0.005;0.006;225.53
16;0.002160;0.011;0.005;0.000;228.57
16;0.002331;0.011;0.005;0.000;209.53
16;0.002187;0.011;0.005;0.000;226.18
16;0.002363;0.012;0.005;0.000;228.01
16;0.002274;0.011;0.005;0.000;224.75
16;0.002026;0.011;0.005;0.000;227.07
16;0.002251;0.011;0.005;0.000;223.65
16;0.002095;0.004;0.005;0.007;222.99
16;0.002231;0.011;0.005;0.000;229.76
16;0.002308;0.012;0.005;0.000;227.85
16;0.002095;0.002;0.005;0.010;232.63
16;0.002338;0.011;0.005;0.000;217.54
16;0.002320;0.011;0.005;0.000;223.25
16;0.002215;0.003;0.005;0.008;230.52
16;0.002365;0.012;0.005;0.000;226.62
16;0.002151;0.010;0.005;0.001;232.97
16;0.002103;0.005;0.005;0.005;221.00
16;0.002247;0.000;0.005;0.012;232.05
16;0.002232;0.006;0.005;0.006;226.73
16;0.002169;0.011;0.005;0.000;220.98
16;0.002131;0.011;0.005;0.000;230.80
16;0.002447;0.006;0.005;0.006;218.36
16;0.002208;0.011;0.005;0.000;223.03
16;0.002325;0.011;0.005;0.000;226.28
16;0.002326;0.011;0.005;0.000;222.16
16;0.002196;0.000;0.005;0.011;228.09
16;0.002227;0.011;0.005;0.000;224.75
16;0.002158;0.006;0.005;0.005;224.21
16;0.002281;0.011;0.005;0.000;223.06
16;0.002284;0.011;0.005;0.000;225.75
16;0.002227;0.006;0.005;0.006;227.91
16;0.002337;0.011;0.005;0.000;219.79
16;0.002240;0.011;0.005;0.000;228.59
16;0.002198;0.011;0.005;0.000;229.28
16;0.002160;0.011;0.005;0.000;218.67
16;0.002335;0.000;0.005;0.012;231.83
16;0.002308;0.000;0.005;0.011;232.03
16;0.002380;0.011;0.005;0.000;218.10
16;0.002142;0.011;0.005;0.000;226.84
16;0.002247;0.011;0.005;0.000;221.63
16;0.002312;0.011;0.005;0.000;220.75
16;0.002233;0.004;0.005;0.007;222.10
16;0.002170;0.011;0.005;0.000;229.64
16;0.002202;0.005;0.005;0.005;217.93
16;0.002209;0.006;0.005;0.005;221.59
16;0.002253;0.011;0.005;0.000;224.14
