nThread;timeInt;user;real;sys;pCPU
8;0.007995;0.227;0.197;0.037;134.11
8;0.007951;0.244;0.197;0.019;133.77
8;0.008097;0.244;0.197;0.021;134.33
8;0.007971;0.256;0.197;0.007;134.03
8;0.008008;0.257;0.197;0.008;134.17
8;0.008071;0.260;0.197;0.004;134.36
8;0.008018;0.216;0.197;0.048;134.14
8;0.008074;0.253;0.197;0.011;134.29
8;0.007983;0.251;0.197;0.013;133.97
8;0.008095;0.248;0.197;0.017;134.46
8;0.008013;0.253;0.197;0.011;134.09
8;0.008366;0.261;0.197;0.004;134.57
8;0.008056;0.260;0.197;0.004;134.23
8;0.008024;0.260;0.197;0.004;134.19
8;0.008809;0.259;0.197;0.008;135.43
8;0.007950;0.256;0.197;0.007;133.90
8;0.008037;0.252;0.197;0.012;134.25
8;0.009088;0.267;0.198;0.004;136.97
8;0.008068;0.261;0.197;0.004;134.33
8;0.008029;0.247;0.197;0.017;134.13
8;0.008137;0.257;0.197;0.008;134.59
8;0.007956;0.256;0.197;0.008;134.04
8;0.008067;0.256;0.197;0.008;134.09
8;0.008062;0.228;0.198;0.037;133.91
8;0.008044;0.257;0.197;0.008;134.30
8;0.008090;0.256;0.197;0.008;134.33
8;0.008061;0.258;0.198;0.007;134.00
8;0.008155;0.256;0.197;0.008;134.36
8;0.008029;0.256;0.197;0.008;134.21
8;0.008046;0.261;0.197;0.004;134.20
8;0.008027;0.243;0.197;0.021;134.09
8;0.007950;0.231;0.198;0.033;133.70
8;0.008001;0.245;0.197;0.019;134.10
8;0.008104;0.252;0.197;0.013;134.41
8;0.008091;0.248;0.197;0.017;134.41
8;0.007981;0.264;0.198;0.000;133.67
8;0.008107;0.261;0.197;0.004;134.47
8;0.008020;0.246;0.197;0.019;134.20
8;0.007979;0.260;0.197;0.004;133.99
8;0.007984;0.255;0.197;0.008;134.01
8;0.008193;0.228;0.197;0.037;134.77
8;0.008031;0.257;0.198;0.008;133.89
8;0.008065;0.252;0.197;0.013;134.29
8;0.007985;0.256;0.197;0.008;134.00
8;0.008009;0.260;0.197;0.004;134.05
8;0.008057;0.256;0.197;0.008;134.28
8;0.007927;0.256;0.197;0.008;133.83
8;0.007988;0.265;0.198;0.000;133.60
8;0.008093;0.254;0.197;0.011;134.48
8;0.008006;0.249;0.197;0.015;134.14
8;0.008004;0.260;0.197;0.004;134.11
8;0.008088;0.252;0.197;0.012;134.34
8;0.008076;0.257;0.197;0.008;134.05
8;0.007997;0.260;0.197;0.004;134.03
8;0.008016;0.261;0.198;0.004;133.78
8;0.008017;0.251;0.197;0.013;134.04
8;0.008102;0.248;0.197;0.017;134.43
8;0.007907;0.212;0.197;0.052;133.88
8;0.008045;0.253;0.197;0.011;134.27
8;0.008044;0.256;0.197;0.008;134.22
