nThread;timeInt;user;real;sys;pCPU
32;0.005989;0.007;0.009;0.014;220.89
32;0.006097;0.017;0.010;0.005;225.33
32;0.006435;0.021;0.010;0.000;215.47
32;0.006136;0.021;0.010;0.000;223.35
32;0.005912;0.017;0.009;0.005;231.59
32;0.006180;0.022;0.010;0.000;223.49
32;0.005996;0.021;0.009;0.000;226.66
32;0.005949;0.022;0.009;0.000;228.92
32;0.005874;0.015;0.009;0.006;228.49
32;0.006337;0.014;0.010;0.007;219.50
32;0.006445;0.022;0.010;0.000;222.49
32;0.005747;0.007;0.009;0.014;224.26
32;0.006000;0.022;0.009;0.000;227.58
32;0.005985;0.009;0.009;0.012;221.77
32;0.006461;0.019;0.010;0.003;218.83
32;0.006126;0.021;0.010;0.000;223.50
32;0.006007;0.014;0.009;0.007;227.80
32;0.006222;0.018;0.010;0.003;221.99
32;0.006318;0.022;0.010;0.000;220.64
32;0.006709;0.011;0.010;0.011;211.96
32;0.006200;0.008;0.010;0.014;222.26
32;0.006696;0.006;0.010;0.015;210.22
32;0.006332;0.014;0.010;0.007;219.38
32;0.006250;0.007;0.010;0.014;222.94
32;0.006148;0.017;0.010;0.004;226.80
32;0.006228;0.015;0.010;0.007;224.35
32;0.006416;0.007;0.010;0.014;218.79
32;0.006467;0.007;0.010;0.014;215.94
32;0.006211;0.009;0.010;0.013;223.39
32;0.006125;0.022;0.010;0.000;223.50
32;0.005909;0.022;0.009;0.000;230.42
32;0.005822;0.021;0.009;0.000;227.52
32;0.005802;0.014;0.009;0.007;228.86
32;0.005996;0.014;0.009;0.007;224.34
32;0.006095;0.014;0.010;0.007;222.31
32;0.005894;0.017;0.009;0.004;228.15
32;0.005882;0.011;0.009;0.011;227.85
32;0.005781;0.021;0.009;0.000;230.55
32;0.006206;0.014;0.010;0.007;218.58
32;0.005867;0.014;0.009;0.007;224.33
32;0.006260;0.013;0.010;0.008;221.86
32;0.006453;0.015;0.010;0.007;219.56
