nThread;timeInt;user;real;sys;pCPU
4;0.002268;0.012;0.005;0.000;225.83
4;0.002259;0.012;0.005;0.000;227.41
4;0.002418;0.013;0.006;0.000;232.53
4;0.002387;0.003;0.007;0.011;206.45
4;0.002277;0.012;0.005;0.000;228.54
4;0.002290;0.013;0.006;0.000;220.15
4;0.002269;0.012;0.005;0.000;227.88
4;0.002264;0.012;0.005;0.000;228.10
4;0.002275;0.006;0.005;0.006;226.86
4;0.002267;0.012;0.005;0.000;227.32
4;0.002281;0.012;0.005;0.000;228.17
4;0.002265;0.012;0.005;0.000;228.67
4;0.002272;0.006;0.005;0.006;226.70
4;0.002272;0.010;0.005;0.002;229.50
4;0.002275;0.012;0.005;0.000;229.42
4;0.002267;0.009;0.005;0.003;227.00
4;0.002265;0.010;0.005;0.002;228.54
4;0.002268;0.012;0.005;0.000;226.20
4;0.002288;0.012;0.005;0.000;228.45
4;0.002288;0.012;0.005;0.000;229.13
4;0.002268;0.012;0.005;0.000;227.56
4;0.002262;0.012;0.005;0.000;227.75
4;0.002293;0.012;0.005;0.000;228.90
4;0.002046;0.006;0.005;0.005;227.73
4;0.002027;0.011;0.005;0.000;227.60
4;0.002041;0.011;0.005;0.000;228.06
4;0.002041;0.011;0.005;0.000;227.01
4;0.002047;0.011;0.005;0.000;227.93
4;0.002056;0.011;0.005;0.000;228.45
4;0.002044;0.011;0.005;0.000;223.69
4;0.002037;0.009;0.005;0.002;227.89
4;0.002028;0.003;0.005;0.008;227.73
4;0.002147;0.011;0.005;0.000;230.52
4;0.002047;0.011;0.005;0.000;228.18
4;0.002041;0.011;0.005;0.000;228.08
4;0.002086;0.002;0.005;0.009;229.00
4;0.002047;0.011;0.005;0.000;228.00
4;0.002037;0.011;0.005;0.000;227.03
4;0.002045;0.009;0.005;0.002;228.62
4;0.002050;0.000;0.005;0.011;227.73
4;0.002033;0.011;0.005;0.000;227.51
4;0.002090;0.011;0.005;0.000;224.36
4;0.002042;0.011;0.005;0.000;223.57
4;0.002042;0.011;0.005;0.000;227.28
4;0.002032;0.011;0.005;0.000;227.91
4;0.002130;0.012;0.005;0.000;219.87
4;0.002061;0.011;0.005;0.000;228.87
4;0.002039;0.011;0.005;0.000;228.05
4;0.002099;0.009;0.005;0.002;231.37
4;0.002041;0.011;0.005;0.000;226.50
4;0.002034;0.011;0.005;0.000;227.45
4;0.002045;0.011;0.005;0.000;228.86
4;0.002040;0.011;0.005;0.000;227.62
4;0.002032;0.006;0.005;0.005;226.82
4;0.002036;0.011;0.005;0.000;227.96
4;0.002029;0.011;0.005;0.000;226.88
4;0.002041;0.011;0.005;0.000;228.01
4;0.002039;0.000;0.005;0.011;225.66
4;0.002124;0.011;0.005;0.000;229.84
4;0.002051;0.011;0.005;0.000;229.01
4;0.002042;0.011;0.005;0.000;228.24
4;0.002067;0.011;0.005;0.000;229.01
4;0.001865;0.010;0.004;0.000;226.73
4;0.001875;0.010;0.004;0.000;229.04
4;0.001844;0.010;0.004;0.000;226.70
4;0.001856;0.010;0.005;0.000;223.50
4;0.001844;0.008;0.004;0.002;226.61
4;0.001871;0.010;0.004;0.000;228.85
4;0.001855;0.010;0.004;0.000;228.59
4;0.001868;0.010;0.004;0.000;226.32
4;0.001847;0.010;0.004;0.000;227.85
4;0.001846;0.010;0.004;0.000;228.19
4;0.001929;0.010;0.004;0.000;230.01
4;0.001862;0.010;0.004;0.000;228.29
4;0.001878;0.010;0.004;0.000;229.00
4;0.001843;0.010;0.004;0.000;227.56
4;0.001859;0.010;0.004;0.000;227.07
