nThread;timeInt;user;real;sys;pCPU
16;0.036058;0.304;0.228;0.017;140.78
16;0.035526;0.323;0.228;0.000;141.71
16;0.035099;0.310;0.227;0.009;139.96
16;0.036817;0.314;0.229;0.008;140.97
16;0.036854;0.285;0.229;0.035;139.52
16;0.034918;0.300;0.227;0.016;138.99
16;0.036433;0.313;0.229;0.008;140.57
16;0.035299;0.303;0.228;0.021;142.14
16;0.035606;0.320;0.228;0.004;142.29
16;0.034980;0.304;0.227;0.017;141.35
16;0.035036;0.312;0.227;0.008;140.82
16;0.035090;0.325;0.230;0.000;141.63
16;0.036918;0.320;0.229;0.004;141.26
16;0.035575;0.310;0.228;0.008;139.53
16;0.035603;0.312;0.228;0.012;142.26
16;0.035251;0.298;0.228;0.023;140.79
16;0.035927;0.307;0.228;0.012;139.71
16;0.036828;0.304;0.229;0.012;137.86
16;0.035620;0.308;0.228;0.015;141.63
16;0.035126;0.316;0.227;0.004;140.79
16;0.035544;0.306;0.228;0.019;142.32
16;0.035557;0.297;0.228;0.027;142.35
16;0.037878;0.308;0.230;0.016;140.83
16;0.036899;0.287;0.229;0.031;138.93
16;0.035110;0.315;0.227;0.008;142.12
16;0.035412;0.320;0.228;0.004;142.34
16;0.035503;0.309;0.229;0.016;141.86
16;0.035669;0.308;0.229;0.017;141.92
16;0.035614;0.326;0.228;0.000;142.76
16;0.035137;0.308;0.227;0.012;140.96
16;0.036176;0.307;0.231;0.012;138.34
16;0.035265;0.306;0.228;0.013;140.15
16;0.036944;0.316;0.229;0.004;139.62
16;0.036369;0.308;0.229;0.015;140.85
16;0.036610;0.311;0.230;0.012;140.56
16;0.035575;0.307;0.228;0.017;142.23
16;0.036785;0.299;0.229;0.021;139.56
16;0.035361;0.324;0.228;0.000;142.30
16;0.036866;0.316;0.229;0.004;139.53
16;0.036949;0.308;0.229;0.008;138.14
16;0.035929;0.316;0.228;0.004;140.35
16;0.035626;0.317;0.228;0.004;140.43
16;0.037747;0.314;0.230;0.008;140.21
16;0.036366;0.309;0.230;0.012;139.65
16;0.035519;0.313;0.229;0.012;141.97
16;0.035768;0.308;0.228;0.017;142.30
16;0.036755;0.316;0.229;0.004;139.53
16;0.036707;0.305;0.229;0.015;139.77
16;0.035156;0.307;0.227;0.012;140.10
16;0.035116;0.307;0.227;0.008;138.24
16;0.035111;0.292;0.227;0.023;138.88
16;0.036105;0.309;0.228;0.012;140.55
16;0.035109;0.290;0.227;0.033;141.98
16;0.036733;0.307;0.229;0.013;139.44
16;0.035536;0.310;0.228;0.012;141.58
16;0.035025;0.316;0.228;0.004;140.29
16;0.036043;0.292;0.229;0.024;138.22
16;0.036634;0.303;0.229;0.020;140.90
16;0.035861;0.312;0.228;0.012;142.17
