nThread;timeInt;user;real;sys;pCPU
4;0.034657;0.292;0.226;0.008;132.68
4;0.034512;0.296;0.226;0.004;132.58
4;0.034625;0.296;0.226;0.004;132.77
4;0.034528;0.288;0.226;0.012;132.61
4;0.034395;0.287;0.226;0.012;132.47
4;0.034580;0.280;0.226;0.020;132.71
4;0.034688;0.281;0.226;0.019;132.78
4;0.034212;0.299;0.226;0.000;132.27
4;0.034511;0.284;0.226;0.016;132.65
4;0.034431;0.288;0.226;0.012;132.44
4;0.034549;0.284;0.227;0.016;132.66
4;0.034468;0.288;0.226;0.012;132.58
4;0.034702;0.293;0.226;0.008;132.85
4;0.034605;0.284;0.226;0.016;132.71
4;0.034570;0.284;0.226;0.016;132.72
4;0.034962;0.285;0.227;0.016;133.02
4;0.034603;0.284;0.226;0.016;132.72
4;0.034697;0.285;0.226;0.016;132.83
4;0.034625;0.289;0.226;0.012;132.65
4;0.034314;0.291;0.226;0.008;132.46
4;0.034492;0.288;0.226;0.012;132.54
4;0.034491;0.288;0.226;0.012;132.54
4;0.035129;0.290;0.227;0.012;133.34
4;0.034584;0.288;0.226;0.012;132.70
4;0.034481;0.288;0.226;0.012;132.63
4;0.034857;0.293;0.227;0.008;133.05
4;0.034522;0.288;0.226;0.012;132.60
4;0.034698;0.297;0.227;0.004;132.77
4;0.034519;0.288;0.226;0.012;132.58
4;0.034544;0.296;0.226;0.004;132.63
4;0.034511;0.276;0.226;0.024;132.59
4;0.034469;0.292;0.226;0.008;132.57
4;0.034827;0.277;0.227;0.024;132.95
4;0.035182;0.289;0.227;0.012;132.86
4;0.034556;0.289;0.226;0.012;132.66
4;0.034540;0.300;0.226;0.000;132.68
4;0.034820;0.298;0.227;0.004;132.90
4;0.034628;0.289;0.227;0.012;132.69
4;0.034511;0.300;0.227;0.000;132.55
4;0.034565;0.296;0.226;0.004;132.67
4;0.034496;0.276;0.226;0.024;132.59
4;0.034562;0.293;0.227;0.008;132.69
4;0.034910;0.294;0.227;0.008;133.10
4;0.034796;0.285;0.227;0.016;132.94
4;0.034623;0.293;0.227;0.008;132.77
4;0.034571;0.297;0.226;0.004;132.72
4;0.034985;0.294;0.227;0.008;132.77
4;0.034606;0.297;0.227;0.004;132.39
4;0.034634;0.284;0.226;0.016;132.78
4;0.034669;0.289;0.227;0.012;132.43
4;0.035011;0.294;0.228;0.008;132.76
4;0.034816;0.293;0.227;0.008;132.53
4;0.034820;0.289;0.227;0.012;132.57
4;0.034445;0.280;0.226;0.020;132.56
4;0.034670;0.301;0.226;0.000;132.82
4;0.034732;0.297;0.226;0.004;132.91
4;0.034529;0.296;0.226;0.004;132.62
4;0.034639;0.289;0.226;0.012;132.77
4;0.034769;0.297;0.227;0.004;132.97
4;0.034683;0.293;0.226;0.008;132.84
4;0.034541;0.288;0.226;0.012;132.68
4;0.034578;0.293;0.227;0.008;132.72
4;0.034594;0.293;0.227;0.008;132.74
4;0.034424;0.296;0.226;0.004;132.56
4;0.034634;0.284;0.227;0.016;132.71
4;0.034524;0.284;0.226;0.016;132.69
4;0.034092;0.286;0.226;0.012;132.15
4;0.034733;0.293;0.226;0.008;132.95
4;0.034689;0.293;0.226;0.008;132.87
4;0.034788;0.293;0.227;0.008;132.99
4;0.034592;0.289;0.228;0.012;132.07
4;0.034512;0.296;0.226;0.004;132.69
4;0.034882;0.293;0.226;0.008;133.12
4;0.034673;0.301;0.226;0.000;132.94
4;0.034558;0.296;0.226;0.004;132.74
4;0.034545;0.292;0.226;0.008;132.69
4;0.034677;0.289;0.226;0.012;132.88
4;0.034591;0.296;0.226;0.004;132.73
4;0.034501;0.287;0.229;0.016;132.20
4;0.034198;0.287;0.226;0.012;132.32
4;0.034520;0.292;0.226;0.008;132.69
4;0.034489;0.284;0.226;0.016;132.64
4;0.034503;0.300;0.226;0.000;132.70
4;0.034646;0.289;0.226;0.012;132.76
4;0.034472;0.296;0.226;0.004;132.58
4;0.034557;0.292;0.226;0.008;132.71
4;0.034581;0.285;0.226;0.016;132.70
4;0.034633;0.297;0.226;0.004;132.82
4;0.034542;0.293;0.227;0.008;132.31
4;0.034469;0.292;0.226;0.008;132.62
4;0.034446;0.284;0.226;0.016;132.55
4;0.034845;0.282;0.227;0.019;133.05
4;0.034513;0.292;0.226;0.008;132.61
4;0.034617;0.297;0.227;0.004;132.78
4;0.034566;0.288;0.226;0.012;132.66
4;0.034480;0.280;0.226;0.020;132.60
4;0.034423;0.288;0.226;0.012;132.58
4;0.034411;0.288;0.226;0.012;132.50
4;0.034456;0.300;0.226;0.000;132.60
4;0.034493;0.296;0.226;0.004;132.70
4;0.034999;0.286;0.227;0.016;133.18
4;0.034694;0.289;0.226;0.012;132.89
4;0.034849;0.297;0.231;0.008;132.45
4;0.034512;0.292;0.226;0.008;132.66
4;0.034596;0.288;0.226;0.012;132.69
4;0.034468;0.280;0.226;0.020;132.61
4;0.034649;0.285;0.226;0.016;132.83
4;0.034449;0.288;0.226;0.012;132.63
4;0.034536;0.292;0.226;0.008;132.68
4;0.034723;0.301;0.227;0.000;132.90
4;0.034568;0.292;0.226;0.008;132.70
4;0.034470;0.288;0.226;0.012;132.62
4;0.034563;0.292;0.226;0.008;132.73
4;0.034468;0.284;0.226;0.016;132.63
4;0.034738;0.285;0.226;0.016;132.97
4;0.034638;0.288;0.226;0.012;132.88
4;0.034771;0.293;0.226;0.008;133.02
4;0.034853;0.281;0.227;0.020;132.97
4;0.034477;0.389;0.323;0.008;122.85
4;0.034649;0.289;0.226;0.012;132.84
4;0.034915;0.290;0.227;0.012;133.17
4;0.034572;0.284;0.226;0.016;132.70
4;0.034687;0.301;0.226;0.000;132.96
4;0.034562;0.276;0.226;0.024;132.76
4;0.034478;0.296;0.226;0.004;132.58
4;0.034596;0.296;0.226;0.004;132.80
4;0.034747;0.297;0.227;0.004;132.92
4;0.034653;0.284;0.226;0.016;132.79
4;0.034504;0.280;0.226;0.020;132.70
4;0.034542;0.288;0.226;0.012;132.68
4;0.034531;0.280;0.226;0.020;132.68
4;0.034685;0.301;0.226;0.000;132.94
4;0.034647;0.293;0.226;0.008;132.86
4;0.034681;0.297;0.226;0.004;132.91
4;0.034515;0.292;0.226;0.008;132.61
4;0.034720;0.277;0.226;0.024;132.90
4;0.034416;0.288;0.226;0.012;132.54
4;0.034677;0.293;0.226;0.008;132.84
4;0.034531;0.292;0.226;0.008;132.72
4;0.034547;0.294;0.228;0.008;132.39
4;0.034465;0.292;0.226;0.008;132.57
4;0.034585;0.292;0.227;0.008;132.64
4;0.034552;0.296;0.226;0.004;132.65
4;0.034563;0.297;0.227;0.004;132.59
4;0.034609;0.285;0.227;0.016;132.72
4;0.034606;0.280;0.227;0.020;132.68
4;0.034603;0.289;0.227;0.012;132.67
4;0.034662;0.289;0.227;0.012;132.69
4;0.034616;0.289;0.226;0.012;132.74
4;0.034550;0.268;0.227;0.032;132.66
4;0.034526;0.292;0.226;0.008;132.60
4;0.034541;0.280;0.227;0.020;132.64
4;0.034558;0.296;0.227;0.004;132.67
4;0.034684;0.285;0.227;0.016;132.78
4;0.034791;0.297;0.227;0.004;132.88
4;0.034576;0.292;0.227;0.008;132.65
4;0.034650;0.289;0.227;0.011;132.75
4;0.034451;0.284;0.226;0.016;132.48
4;0.034541;0.288;0.227;0.012;132.64
4;0.034491;0.292;0.226;0.008;132.58
4;0.034937;0.298;0.231;0.008;132.53
4;0.034458;0.292;0.226;0.008;132.53
4;0.034627;0.277;0.227;0.024;132.64
4;0.034541;0.292;0.227;0.008;132.56
4;0.034500;0.284;0.227;0.016;132.59
4;0.034513;0.284;0.227;0.016;132.57
4;0.034082;0.282;0.226;0.016;132.01
4;0.034570;0.293;0.227;0.008;132.65
4;0.034695;0.289;0.227;0.012;132.83
4;0.034649;0.285;0.227;0.016;132.68
4;0.034655;0.285;0.227;0.016;132.73
4;0.034756;0.289;0.227;0.012;132.90
4;0.034563;0.292;0.227;0.008;132.59
4;0.034573;0.288;0.227;0.012;132.62
4;0.034680;0.277;0.227;0.024;132.80
4;0.034593;0.285;0.227;0.016;132.68
4;0.034321;0.295;0.226;0.004;132.34
4;0.034694;0.289;0.227;0.012;132.74
4;0.034568;0.289;0.227;0.012;132.66
4;0.034676;0.293;0.227;0.008;132.46
4;0.034446;0.300;0.226;0.000;132.57
4;0.034498;0.292;0.226;0.008;132.62
4;0.034536;0.284;0.226;0.016;132.65
4;0.034594;0.300;0.226;0.000;132.73
4;0.034471;0.288;0.226;0.012;132.55
4;0.034478;0.292;0.226;0.008;132.62
4;0.034816;0.297;0.227;0.004;132.94
4;0.034583;0.292;0.226;0.008;132.68
4;0.034507;0.288;0.226;0.012;132.65
4;0.034540;0.300;0.226;0.000;132.68
4;0.034672;0.285;0.226;0.016;132.77
4;0.034450;0.292;0.226;0.008;132.59
4;0.034673;0.288;0.226;0.012;132.77
4;0.034490;0.292;0.226;0.008;132.60
4;0.034684;0.285;0.226;0.016;132.85
4;0.034546;0.296;0.226;0.004;132.62
4;0.034499;0.284;0.226;0.016;132.62
4;0.034525;0.300;0.226;0.000;132.61
4;0.034600;0.288;0.226;0.012;132.69
4;0.034516;0.292;0.226;0.008;132.59
