nThread;timeInt;user;real;sys;pCPU
1;0.072676;0.260;0.264;0.004;100.01
1;0.074872;0.258;0.266;0.008;100.01
1;0.074900;0.259;0.267;0.008;100.01
1;0.074468;0.250;0.266;0.016;100.01
1;0.075981;0.252;0.268;0.016;100.01
1;0.072319;0.252;0.264;0.012;100.01
1;0.072305;0.256;0.264;0.008;100.01
1;0.072558;0.264;0.264;0.000;100.01
1;0.072194;0.260;0.264;0.004;100.01
1;0.075629;0.259;0.267;0.008;100.01
1;0.075123;0.251;0.267;0.016;100.01
1;0.072948;0.253;0.265;0.012;100.01
1;0.074837;0.247;0.266;0.020;100.01
1;0.072650;0.260;0.264;0.004;100.01
1;0.072533;0.248;0.264;0.016;100.01
1;0.072305;0.264;0.264;0.000;100.01
1;0.074929;0.247;0.266;0.020;100.01
1;0.075244;0.255;0.267;0.012;100.01
1;0.072444;0.248;0.264;0.016;100.01
1;0.072303;0.252;0.264;0.012;100.01
1;0.072332;0.256;0.264;0.008;100.01
1;0.072783;0.260;0.264;0.004;100.01
1;0.072529;0.260;0.264;0.004;100.01
1;0.075159;0.247;0.267;0.020;100.01
1;0.074828;0.255;0.266;0.012;100.01
1;0.074917;0.259;0.267;0.008;100.01
1;0.072562;0.252;0.264;0.012;100.01
1;0.072810;0.261;0.264;0.004;100.01
1;0.072226;0.260;0.264;0.004;100.01
1;0.072252;0.256;0.264;0.008;100.01
1;0.072929;0.265;0.264;0.000;100.01
1;0.075506;0.255;0.267;0.012;100.01
1;0.072573;0.260;0.264;0.004;100.01
1;0.072427;0.260;0.264;0.004;100.01
1;0.074945;0.267;0.267;0.000;100.01
1;0.072325;0.256;0.264;0.008;100.01
1;0.074901;0.258;0.266;0.008;100.01
1;0.075075;0.263;0.267;0.004;100.01
1;0.072244;0.232;0.264;0.032;100.01
1;0.072418;0.256;0.264;0.008;100.01
1;0.072339;0.260;0.264;0.004;100.01
1;0.072344;0.260;0.264;0.004;100.01
1;0.073526;0.245;0.265;0.020;100.01
1;0.072610;0.245;0.264;0.020;100.01
1;0.075030;0.267;0.267;0.000;100.01
1;0.072425;0.256;0.264;0.008;100.01
1;0.075523;0.259;0.267;0.008;100.01
1;0.075380;0.251;0.267;0.016;100.01
1;0.072469;0.244;0.264;0.020;100.01
1;0.075380;0.263;0.267;0.004;100.01
1;0.073080;0.265;0.265;0.000;100.01
1;0.072543;0.252;0.264;0.012;100.01
1;0.074866;0.246;0.267;0.020;100.01
1;0.074813;0.242;0.266;0.024;100.01
1;0.074962;0.255;0.267;0.012;100.01
1;0.074624;0.260;0.268;0.008;100.01
1;0.072590;0.252;0.264;0.012;100.01
1;0.072475;0.248;0.264;0.016;100.01
1;0.073416;0.251;0.267;0.016;100.01
1;0.072812;0.259;0.263;0.004;100.00
1;0.072924;0.261;0.265;0.004;100.01
1;0.073510;0.257;0.265;0.008;100.01
1;0.072843;0.261;0.265;0.004;100.01
1;0.072631;0.252;0.264;0.012;100.01
1;0.073233;0.257;0.265;0.008;100.01
1;0.072799;0.245;0.265;0.020;100.01
1;0.072592;0.256;0.264;0.008;100.01
1;0.072874;0.256;0.264;0.008;100.01
1;0.072702;0.256;0.264;0.008;100.01
1;0.072638;0.256;0.264;0.008;100.01
1;0.072972;0.261;0.265;0.004;100.00
1;0.072581;0.248;0.264;0.016;100.01
1;0.073001;0.353;0.361;0.008;100.00
1;0.072947;0.249;0.265;0.016;100.01
1;0.072681;0.248;0.264;0.016;100.01
1;0.073004;0.265;0.265;0.000;100.01
1;0.072803;0.237;0.265;0.028;100.01
1;0.072988;0.257;0.265;0.008;100.01
1;0.072829;0.257;0.264;0.008;100.01
1;0.072622;0.260;0.264;0.004;100.01
1;0.073323;0.257;0.265;0.008;100.01
1;0.073059;0.253;0.265;0.012;100.01
1;0.073144;0.253;0.265;0.012;100.01
1;0.072794;0.253;0.264;0.012;100.01
1;0.073068;0.261;0.265;0.004;100.01
1;0.072947;0.253;0.265;0.012;100.01
1;0.072636;0.265;0.265;0.000;100.01
1;0.072646;0.257;0.265;0.008;100.00
1;0.072588;0.257;0.265;0.008;100.01
1;0.072919;0.265;0.265;0.000;100.01
1;0.072583;0.264;0.264;0.000;100.01
1;0.073076;0.265;0.265;0.000;100.01
1;0.072367;0.248;0.264;0.016;100.01
1;0.072566;0.260;0.264;0.004;100.01
1;0.072859;0.253;0.265;0.012;100.01
1;0.072551;0.252;0.264;0.012;100.01
1;0.072790;0.252;0.264;0.012;100.01
1;0.072930;0.261;0.265;0.004;100.01
1;0.072585;0.236;0.264;0.028;100.01
1;0.072587;0.260;0.264;0.004;100.01
1;0.073490;0.261;0.265;0.004;100.01
1;0.072699;0.251;0.267;0.016;100.01
1;0.072622;0.256;0.264;0.008;100.01
1;0.072747;0.244;0.264;0.020;100.01
1;0.072738;0.256;0.264;0.008;100.01
1;0.072711;0.252;0.264;0.012;100.01
