nThread;timeInt;user;real;sys;pCPU
8;0.008697;0.260;0.195;0.008;136.74
8;0.008725;0.250;0.195;0.017;136.84
8;0.008702;0.263;0.195;0.004;136.82
8;0.008623;0.280;0.216;0.008;132.94
8;0.008655;0.262;0.195;0.004;136.68
8;0.008736;0.266;0.195;0.000;136.15
8;0.008630;0.262;0.195;0.004;136.62
8;0.008627;0.263;0.196;0.004;136.35
8;0.009275;0.258;0.196;0.013;138.11
8;0.008582;0.249;0.195;0.017;136.46
8;0.008659;0.267;0.195;0.000;136.79
8;0.008983;0.267;0.196;0.000;136.64
8;0.008599;0.263;0.195;0.004;136.53
8;0.008487;0.258;0.196;0.008;135.67
8;0.008605;0.258;0.195;0.008;136.15
8;0.008638;0.259;0.195;0.008;136.61
8;0.008558;0.236;0.195;0.030;136.50
8;0.008597;0.259;0.195;0.008;136.48
8;0.008729;0.249;0.195;0.019;137.03
8;0.008615;0.258;0.195;0.009;136.59
8;0.008657;0.258;0.195;0.009;136.77
8;0.008656;0.263;0.195;0.004;136.71
8;0.008675;0.259;0.196;0.008;136.45
8;0.008720;0.263;0.195;0.004;136.97
8;0.008523;0.258;0.195;0.008;136.25
8;0.008556;0.255;0.195;0.011;136.38
8;0.008570;0.251;0.195;0.015;136.47
8;0.008527;0.240;0.195;0.027;136.29
8;0.008667;0.259;0.195;0.008;136.81
8;0.008508;0.261;0.195;0.004;136.15
8;0.008644;0.259;0.195;0.009;136.73
8;0.008636;0.259;0.196;0.008;136.57
8;0.008631;0.254;0.195;0.013;136.69
8;0.008638;0.259;0.196;0.008;136.37
8;0.008591;0.250;0.195;0.017;136.56
8;0.008646;0.248;0.195;0.019;136.68
8;0.008592;0.248;0.195;0.019;136.47
8;0.008618;0.248;0.195;0.019;136.65
8;0.008541;0.228;0.195;0.038;136.32
8;0.008593;0.255;0.196;0.011;136.11
8;0.008735;0.260;0.195;0.008;136.99
8;0.008691;0.256;0.195;0.011;136.92
8;0.008697;0.259;0.195;0.009;136.88
8;0.008620;0.265;0.198;0.004;136.11
8;0.008627;0.267;0.196;0.000;136.21
8;0.008617;0.266;0.195;0.000;136.56
8;0.008603;0.248;0.195;0.019;136.60
8;0.008482;0.258;0.195;0.008;136.17
8;0.008620;0.259;0.195;0.008;136.61
8;0.008553;0.265;0.198;0.004;135.84
8;0.008593;0.255;0.195;0.011;136.50
8;0.008552;0.267;0.196;0.000;136.04
8;0.008590;0.266;0.195;0.000;136.51
8;0.008608;0.256;0.195;0.011;136.60
8;0.008621;0.251;0.195;0.015;136.60
8;0.008532;0.258;0.195;0.008;136.28
8;0.008660;0.256;0.195;0.011;136.73
8;0.008675;0.248;0.196;0.019;136.48
8;0.008771;0.260;0.196;0.008;137.10
8;0.008672;0.237;0.195;0.031;136.90
8;0.008649;0.254;0.195;0.013;136.69
8;0.008615;0.249;0.195;0.017;136.62
8;0.008678;0.250;0.196;0.017;136.49
8;0.008658;0.250;0.195;0.017;136.72
8;0.010859;0.270;0.198;0.012;142.89
8;0.008604;0.263;0.195;0.004;136.54
8;0.008518;0.263;0.196;0.004;135.94
8;0.008678;0.248;0.195;0.019;136.81
8;0.008601;0.258;0.195;0.009;136.57
8;0.008651;0.254;0.195;0.013;136.67
8;0.008623;0.258;0.195;0.008;136.58
8;0.008668;0.263;0.195;0.004;136.75
8;0.008600;0.259;0.195;0.008;136.42
8;0.008646;0.259;0.195;0.008;136.72
8;0.008495;0.251;0.195;0.015;136.17
