nThread;timeInt;user;real;sys;pCPU
4;0.002035;0.010;0.004;0.000;264.34
4;0.002055;0.008;0.004;0.002;263.60
4;0.002046;0.000;0.004;0.010;267.17
4;0.002053;0.010;0.004;0.000;263.47
4;0.002056;0.010;0.004;0.000;264.07
4;0.002044;0.010;0.004;0.000;261.53
4;0.002060;0.003;0.004;0.007;264.54
4;0.002054;0.000;0.004;0.010;264.80
4;0.002045;0.010;0.004;0.000;262.64
4;0.002084;0.010;0.004;0.000;262.94
4;0.002043;0.000;0.004;0.010;261.74
4;0.002070;0.010;0.004;0.000;264.38
4;0.001979;0.010;0.004;0.000;261.83
4;0.002060;0.000;0.004;0.010;258.48
4;0.002061;0.008;0.004;0.002;263.58
4;0.002051;0.010;0.004;0.000;263.19
4;0.002057;0.010;0.004;0.000;264.35
4;0.002040;0.010;0.004;0.000;263.18
4;0.002051;0.010;0.004;0.000;265.15
4;0.002041;0.000;0.004;0.010;263.82
4;0.002076;0.005;0.004;0.005;262.42
4;0.002042;0.010;0.004;0.000;262.53
4;0.002059;0.005;0.004;0.005;263.03
4;0.002051;0.000;0.004;0.010;262.55
4;0.002066;0.010;0.004;0.000;262.06
4;0.002083;0.010;0.004;0.000;263.02
4;0.002046;0.000;0.004;0.010;262.75
4;0.002067;0.010;0.004;0.000;262.90
4;0.002046;0.010;0.004;0.000;262.19
4;0.002062;0.005;0.004;0.005;264.16
4;0.001996;0.000;0.004;0.010;265.62
4;0.002041;0.010;0.004;0.000;263.18
4;0.002013;0.010;0.004;0.000;262.40
4;0.002053;0.000;0.004;0.010;262.95
4;0.002051;0.010;0.004;0.000;263.85
4;0.002043;0.010;0.004;0.000;262.48
4;0.002044;0.005;0.004;0.005;264.09
4;0.002051;0.000;0.004;0.010;261.31
4;0.002081;0.000;0.004;0.010;261.41
4;0.002136;0.010;0.004;0.000;265.96
4;0.002052;0.000;0.004;0.010;263.28
4;0.002104;0.010;0.004;0.000;265.54
4;0.002060;0.000;0.004;0.010;264.41
4;0.002043;0.003;0.004;0.007;264.49
4;0.002042;0.000;0.004;0.010;264.96
4;0.002032;0.010;0.004;0.000;262.01
4;0.002027;0.010;0.004;0.000;263.11
4;0.002034;0.000;0.004;0.010;263.11
4;0.002063;0.005;0.004;0.005;262.64
4;0.001977;0.010;0.004;0.000;258.98
4;0.002093;0.005;0.004;0.005;264.53
4;0.002051;0.000;0.004;0.010;262.84
4;0.002056;0.010;0.004;0.000;263.27
4;0.002064;0.010;0.004;0.000;264.38
4;0.002107;0.010;0.004;0.000;262.58
4;0.002051;0.008;0.004;0.002;263.06
4;0.002061;0.010;0.004;0.000;265.44
4;0.002068;0.008;0.004;0.002;264.89
4;0.002011;0.010;0.004;0.000;263.49
4;0.002050;0.010;0.004;0.000;263.06
4;0.002051;0.010;0.004;0.000;263.91
4;0.001986;0.000;0.004;0.009;260.45
4;0.002009;0.010;0.004;0.000;260.10
4;0.002058;0.010;0.004;0.000;264.34
4;0.001997;0.007;0.004;0.002;262.78
4;0.002041;0.010;0.004;0.000;262.71
4;0.002048;0.000;0.004;0.010;262.30
4;0.002055;0.010;0.004;0.000;261.52
4;0.002048;0.010;0.004;0.000;263.95
4;0.001974;0.005;0.004;0.005;253.25
4;0.002178;0.000;0.004;0.010;268.29
4;0.002039;0.010;0.004;0.000;263.71
4;0.002029;0.010;0.004;0.000;263.00
4;0.001990;0.000;0.004;0.009;261.40
4;0.002021;0.005;0.004;0.005;259.36
4;0.002037;0.010;0.004;0.000;262.78
4;0.002068;0.008;0.004;0.002;263.45
4;0.002055;0.010;0.004;0.000;262.64
4;0.002048;0.000;0.004;0.010;260.83
4;0.002052;0.010;0.004;0.000;263.57
4;0.002048;0.000;0.004;0.010;262.38
4;0.002077;0.010;0.004;0.000;263.49
4;0.002186;0.011;0.004;0.000;268.17
4;0.002042;0.010;0.004;0.000;264.00
4;0.002625;0.012;0.004;0.000;279.82
4;0.001975;0.010;0.004;0.000;259.82
4;0.002058;0.010;0.004;0.000;265.55
4;0.002037;0.010;0.004;0.000;263.81
4;0.002055;0.003;0.004;0.007;264.50
4;0.002113;0.010;0.004;0.000;263.44
4;0.002043;0.000;0.004;0.010;260.52
4;0.002056;0.010;0.004;0.000;262.04
4;0.002030;0.010;0.004;0.000;263.32
4;0.002055;0.008;0.004;0.002;263.68
4;0.002035;0.010;0.004;0.000;263.66
