nThread;timeInt;user;real;sys;pCPU
2;0.001668;0.005;0.003;0.000;152.82
2;0.001667;0.000;0.003;0.005;152.91
2;0.001715;0.005;0.003;0.000;154.05
2;0.001683;0.005;0.004;0.000;150.35
2;0.001717;0.005;0.003;0.000;153.63
2;0.001910;0.006;0.004;0.000;155.55
2;0.001708;0.005;0.003;0.000;154.58
2;0.001657;0.005;0.003;0.000;151.21
2;0.001678;0.005;0.003;0.000;153.52
2;0.001668;0.000;0.003;0.005;153.15
2;0.001692;0.005;0.003;0.000;153.84
2;0.001662;0.005;0.003;0.000;153.17
2;0.001668;0.005;0.003;0.000;153.44
2;0.001658;0.005;0.003;0.000;153.70
2;0.001943;0.005;0.004;0.000;157.03
2;0.001654;0.005;0.003;0.000;153.27
2;0.001658;0.005;0.003;0.000;153.90
2;0.001684;0.005;0.003;0.000;152.30
2;0.001676;0.005;0.003;0.000;153.08
2;0.001715;0.005;0.003;0.000;153.57
2;0.001678;0.000;0.003;0.005;153.00
2;0.001682;0.000;0.003;0.005;155.05
2;0.001671;0.005;0.003;0.000;153.48
2;0.001873;0.000;0.004;0.005;154.14
2;0.001641;0.000;0.003;0.005;153.00
2;0.001683;0.005;0.003;0.000;154.43
2;0.001691;0.003;0.003;0.002;154.07
2;0.001663;0.005;0.003;0.000;153.15
2;0.001695;0.005;0.003;0.000;152.90
2;0.001680;0.000;0.003;0.005;153.82
2;0.001679;0.005;0.003;0.000;153.71
2;0.001645;0.005;0.003;0.000;152.79
2;0.001679;0.005;0.003;0.000;152.93
2;0.001691;0.005;0.003;0.000;153.64
2;0.001703;0.003;0.003;0.002;154.28
2;0.001840;0.006;0.004;0.000;149.90
2;0.001822;0.005;0.003;0.000;154.32
2;0.001765;0.000;0.003;0.005;152.52
2;0.001687;0.005;0.003;0.000;153.38
2;0.001666;0.000;0.003;0.005;152.81
2;0.001684;0.005;0.003;0.000;153.37
2;0.001740;0.005;0.003;0.000;154.31
2;0.001669;0.005;0.003;0.000;151.63
2;0.001763;0.005;0.003;0.000;155.90
2;0.001655;0.000;0.003;0.005;152.94
2;0.001688;0.003;0.003;0.002;153.11
2;0.001653;0.005;0.003;0.000;153.15
2;0.001664;0.005;0.003;0.000;154.76
2;0.001674;0.005;0.003;0.000;153.94
2;0.001661;0.005;0.003;0.000;153.15
2;0.001695;0.000;0.003;0.005;153.85
2;0.001646;0.005;0.003;0.000;153.34
2;0.001686;0.000;0.003;0.005;153.63
2;0.001652;0.005;0.003;0.000;151.95
2;0.001695;0.005;0.003;0.000;153.31
2;0.001665;0.000;0.003;0.005;153.70
2;0.001951;0.006;0.004;0.000;155.85
2;0.001660;0.000;0.003;0.005;153.32
2;0.001699;0.005;0.003;0.000;154.69
2;0.001653;0.000;0.003;0.005;153.15
2;0.001661;0.000;0.003;0.005;152.07
2;0.001676;0.005;0.003;0.000;154.05
2;0.001663;0.005;0.003;0.000;153.45
2;0.001681;0.000;0.003;0.005;153.96
2;0.001649;0.005;0.003;0.000;153.17
2;0.001781;0.003;0.004;0.003;151.90
2;0.001726;0.005;0.004;0.000;149.39
2;0.001672;0.005;0.003;0.000;154.55
2;0.001677;0.005;0.003;0.000;153.01
2;0.001681;0.005;0.003;0.000;153.62
2;0.001663;0.005;0.003;0.000;153.24
2;0.001682;0.005;0.003;0.000;153.43
2;0.001678;0.000;0.003;0.005;153.40
2;0.001684;0.005;0.003;0.000;154.29
2;0.001662;0.005;0.003;0.000;153.37
2;0.001673;0.003;0.003;0.002;153.45
2;0.001792;0.000;0.003;0.005;154.15
2;0.001680;0.000;0.003;0.005;154.53
2;0.001648;0.000;0.003;0.005;153.25
2;0.001670;0.005;0.003;0.000;153.62
2;0.001667;0.000;0.003;0.005;153.82
2;0.001670;0.005;0.003;0.000;153.52
2;0.001672;0.005;0.003;0.000;153.73
2;0.001676;0.000;0.003;0.005;155.02
2;0.001723;0.005;0.003;0.000;154.08
2;0.001944;0.000;0.004;0.005;155.84
2;0.001671;0.005;0.003;0.000;153.41
2;0.001658;0.005;0.003;0.000;152.83
2;0.001712;0.003;0.003;0.002;153.26
2;0.001676;0.005;0.003;0.000;153.10
2;0.001685;0.005;0.003;0.000;154.01
2;0.001677;0.003;0.003;0.002;153.60
2;0.001659;0.005;0.003;0.000;153.27
2;0.001682;0.005;0.003;0.000;153.72
2;0.001672;0.000;0.003;0.005;153.50
2;0.001750;0.005;0.003;0.000;153.52
2;0.001669;0.000;0.003;0.005;153.20
2;0.001686;0.003;0.003;0.002;153.72
2;0.001659;0.005;0.003;0.000;153.00
2;0.001687;0.005;0.003;0.000;154.33
2;0.001660;0.005;0.003;0.000;153.98
2;0.001673;0.005;0.003;0.000;153.33
2;0.001729;0.005;0.003;0.000;153.96
2;0.001682;0.000;0.003;0.005;152.79
2;0.001702;0.005;0.003;0.000;154.30
2;0.001765;0.000;0.003;0.005;154.53
2;0.001682;0.005;0.003;0.000;153.75
2;0.001657;0.000;0.003;0.005;152.70
2;0.001667;0.000;0.003;0.005;152.50
2;0.001678;0.003;0.003;0.002;153.95
2;0.001670;0.005;0.003;0.000;153.51
2;0.001678;0.005;0.003;0.000;153.75
2;0.001664;0.005;0.003;0.000;154.55
2;0.001711;0.005;0.003;0.000;153.74
2;0.001937;0.006;0.004;0.000;156.75
2;0.001694;0.005;0.003;0.000;153.36
2;0.001670;0.000;0.003;0.005;153.78
2;0.001718;0.003;0.003;0.002;154.35
2;0.001661;0.005;0.003;0.000;153.04
2;0.001692;0.005;0.003;0.000;153.52
2;0.001700;0.005;0.003;0.000;154.12
2;0.001687;0.005;0.003;0.000;153.07
2;0.001667;0.003;0.003;0.002;153.62
2;0.001793;0.000;0.004;0.005;151.01
2;0.001678;0.005;0.003;0.000;153.32
2;0.001676;0.000;0.003;0.005;153.80
2;0.001670;0.005;0.003;0.000;153.15
2;0.001672;0.000;0.003;0.005;153.18
2;0.001660;0.000;0.003;0.005;152.76
2;0.001654;0.005;0.003;0.000;152.31
2;0.001666;0.005;0.003;0.000;153.50
2;0.001686;0.003;0.003;0.002;153.90
2;0.001660;0.005;0.003;0.000;151.58
2;0.001679;0.005;0.003;0.000;153.44
2;0.001835;0.000;0.003;0.005;155.72
2;0.001745;0.005;0.003;0.000;154.17
2;0.001660;0.000;0.003;0.005;153.20
2;0.001683;0.005;0.003;0.000;153.61
2;0.001672;0.000;0.003;0.005;153.40
2;0.001675;0.005;0.003;0.000;153.86
2;0.001663;0.005;0.003;0.000;152.82
2;0.001680;0.000;0.003;0.005;152.45
2;0.001683;0.003;0.003;0.002;153.85
2;0.001887;0.005;0.004;0.000;153.72
2;0.001684;0.003;0.003;0.002;153.88
2;0.001676;0.005;0.003;0.000;154.50
2;0.001704;0.005;0.003;0.000;153.66
2;0.001667;0.000;0.003;0.005;152.97
2;0.001710;0.005;0.003;0.000;154.25
2;0.001668;0.005;0.003;0.000;153.34
2;0.001695;0.005;0.003;0.000;154.07
2;0.001666;0.000;0.003;0.005;153.23
2;0.001753;0.000;0.003;0.005;153.49
2;0.001668;0.005;0.003;0.000;152.75
2;0.001910;0.000;0.004;0.005;154.62
2;0.001685;0.005;0.003;0.000;153.19
2;0.001684;0.005;0.003;0.000;151.78
2;0.001713;0.000;0.003;0.005;153.26
2;0.001675;0.005;0.003;0.000;153.99
2;0.001682;0.000;0.003;0.005;153.03
2;0.001670;0.005;0.003;0.000;153.44
2;0.001692;0.005;0.003;0.000;153.76
2;0.001663;0.000;0.003;0.005;153.23
2;0.001930;0.006;0.004;0.000;154.50
2;0.001662;0.005;0.003;0.000;153.94
2;0.001691;0.005;0.003;0.000;154.17
2;0.001685;0.000;0.003;0.005;152.02
2;0.001696;0.005;0.003;0.000;152.81
2;0.001663;0.000;0.003;0.005;152.58
2;0.001683;0.005;0.003;0.000;154.23
2;0.001749;0.000;0.003;0.005;151.29
2;0.001747;0.005;0.003;0.000;153.61
2;0.001680;0.000;0.003;0.005;153.29
2;0.001769;0.005;0.003;0.000;155.77
2;0.001709;0.005;0.003;0.000;153.26
2;0.001696;0.003;0.003;0.002;153.59
2;0.001671;0.005;0.003;0.000;152.72
2;0.001695;0.000;0.003;0.005;153.07
2;0.001684;0.005;0.003;0.000;153.21
2;0.001752;0.005;0.003;0.000;153.00
2;0.001699;0.005;0.003;0.000;153.62
2;0.001676;0.005;0.003;0.000;153.44
2;0.001682;0.005;0.003;0.000;153.38
2;0.001917;0.000;0.004;0.005;156.22
2;0.001667;0.005;0.003;0.000;152.75
2;0.001661;0.005;0.003;0.000;153.76
2;0.001682;0.005;0.003;0.000;153.50
2;0.001670;0.000;0.003;0.005;153.19
2;0.001663;0.003;0.003;0.002;153.59
2;0.001684;0.005;0.003;0.000;153.39
2;0.001674;0.005;0.003;0.000;153.40
2;0.001681;0.005;0.003;0.000;153.43
2;0.001715;0.005;0.003;0.000;153.31
2;0.001685;0.005;0.003;0.000;153.64
2;0.001664;0.000;0.003;0.005;154.05
2;0.001691;0.005;0.003;0.000;153.52
2;0.001668;0.005;0.003;0.000;152.73
2;0.001683;0.005;0.003;0.000;153.55
2;0.001656;0.005;0.003;0.000;153.07
2;0.001672;0.005;0.003;0.000;154.05
