nThread;timeInt;user;real;sys;pCPU
8;0.005234;0.020;0.007;0.022;572.20
8;0.004241;0.035;0.006;0.000;576.05
8;0.005671;0.011;0.008;0.032;571.69
8;0.004338;0.032;0.006;0.004;581.64
8;0.004296;0.036;0.006;0.000;573.60
8;0.004238;0.035;0.006;0.000;573.27
8;0.004245;0.036;0.006;0.000;576.23
8;0.004378;0.037;0.006;0.000;583.70
8;0.004344;0.036;0.006;0.000;576.13
8;0.004839;0.038;0.007;0.000;560.51
8;0.004321;0.036;0.006;0.000;579.37
8;0.007320;0.057;0.009;0.000;618.02
8;0.004205;0.012;0.006;0.023;558.05
8;0.004409;0.037;0.006;0.000;580.73
8;0.004350;0.036;0.006;0.000;580.86
8;0.004331;0.036;0.006;0.000;579.45
8;0.004212;0.035;0.006;0.000;566.44
8;0.004196;0.004;0.006;0.031;574.76
8;0.006309;0.048;0.008;0.000;589.17
8;0.003399;0.026;0.005;0.003;564.91
8;0.004679;0.037;0.006;0.000;586.61
8;0.006268;0.048;0.008;0.000;621.06
8;0.004071;0.033;0.006;0.000;565.71
8;0.003383;0.018;0.005;0.010;574.32
8;0.003502;0.029;0.005;0.000;578.89
8;0.003473;0.029;0.005;0.000;577.47
8;0.003340;0.000;0.005;0.028;573.08
8;0.003426;0.029;0.005;0.000;573.92
8;0.003472;0.015;0.005;0.014;579.96
8;0.010027;0.074;0.012;0.000;638.89
8;0.003447;0.029;0.005;0.000;577.77
8;0.010762;0.079;0.012;0.000;645.98
8;0.002158;0.018;0.003;0.000;571.90
8;0.001902;0.016;0.003;0.000;574.44
8;0.005437;0.041;0.006;0.000;640.48
8;0.001662;0.014;0.003;0.000;558.77
8;0.001622;0.014;0.002;0.000;562.42
8;0.001619;0.013;0.003;0.000;490.20
8;0.009865;0.071;0.011;0.000;665.66
8;0.001686;0.014;0.003;0.000;565.90
8;0.001618;0.014;0.002;0.000;558.57
8;0.005475;0.041;0.006;0.000;650.25
8;0.001640;0.014;0.002;0.000;562.22
