nThread;timeInt;user;real;sys;pCPU
16;0.001959;0.000;0.003;0.008;255.38
16;0.002855;0.000;0.004;0.007;191.08
16;0.002230;0.008;0.003;0.000;237.74
16;0.002205;0.008;0.003;0.000;239.18
16;0.002036;0.000;0.003;0.008;265.02
16;0.002218;0.000;0.003;0.008;242.42
16;0.002373;0.008;0.003;0.000;236.72
16;0.001989;0.008;0.003;0.000;255.80
16;0.002007;0.008;0.003;0.000;261.62
16;0.001887;0.008;0.003;0.000;269.13
16;0.002106;0.008;0.003;0.000;249.60
16;0.001804;0.007;0.003;0.000;267.30
16;0.002424;0.008;0.004;0.000;235.83
16;0.001873;0.008;0.003;0.000;270.11
16;0.002042;0.008;0.003;0.000;247.96
16;0.002097;0.000;0.003;0.008;258.35
16;0.001930;0.008;0.003;0.000;255.98
16;0.002220;0.000;0.003;0.008;251.81
16;0.002092;0.008;0.003;0.000;259.87
16;0.002114;0.000;0.003;0.008;249.30
16;0.001922;0.008;0.003;0.000;264.58
16;0.002077;0.008;0.003;0.000;236.56
16;0.001957;0.000;0.003;0.008;256.69
16;0.002061;0.008;0.003;0.000;258.06
16;0.002349;0.007;0.003;0.000;221.35
16;0.002010;0.008;0.003;0.000;237.85
16;0.002099;0.000;0.003;0.008;252.13
16;0.001931;0.008;0.003;0.000;259.40
16;0.002142;0.002;0.003;0.006;250.92
16;0.001923;0.008;0.003;0.000;265.02
16;0.002124;0.008;0.003;0.000;248.76
16;0.001887;0.000;0.003;0.008;277.88
16;0.001974;0.008;0.003;0.000;255.97
16;0.001930;0.008;0.003;0.000;276.82
16;0.002185;0.008;0.005;0.000;162.00
16;0.001879;0.008;0.003;0.000;266.12
16;0.001964;0.008;0.003;0.000;253.67
16;0.001994;0.007;0.003;0.000;255.68
16;0.002688;0.000;0.005;0.008;172.87
16;0.002156;0.000;0.003;0.008;235.64
16;0.006006;0.008;0.007;0.000;113.66
16;0.001908;0.008;0.003;0.000;266.09
16;0.002076;0.008;0.003;0.000;249.88
16;0.001952;0.004;0.003;0.004;266.88
16;0.002210;0.008;0.003;0.000;234.85
16;0.002043;0.005;0.003;0.003;250.97
16;0.001781;0.008;0.003;0.000;268.91
16;0.002350;0.000;0.003;0.008;230.88
16;0.001937;0.000;0.003;0.008;253.54
16;0.002037;0.008;0.003;0.000;260.17
16;0.001866;0.008;0.003;0.000;280.97
16;0.002333;0.000;0.004;0.008;226.28
16;0.001938;0.000;0.003;0.008;268.09
16;0.002176;0.000;0.003;0.008;247.12
16;0.002199;0.004;0.003;0.004;230.83
16;0.002074;0.008;0.003;0.000;239.20
16;0.001953;0.008;0.003;0.000;268.65
16;0.004914;0.001;0.006;0.007;139.85
16;0.001858;0.000;0.003;0.008;272.60
16;0.002136;0.008;0.003;0.000;255.44
16;0.001885;0.008;0.003;0.000;264.82
16;0.002064;0.000;0.003;0.008;252.24
16;0.002185;0.008;0.003;0.000;253.01
16;0.002130;0.008;0.004;0.000;219.30
16;0.002088;0.000;0.003;0.008;245.29
16;0.002002;0.007;0.003;0.001;242.11
16;0.002079;0.004;0.003;0.004;251.80
16;0.002017;0.008;0.003;0.000;266.43
16;0.002039;0.008;0.003;0.000;258.31
16;0.001882;0.008;0.003;0.000;265.09
16;0.002064;0.008;0.003;0.000;238.84
16;0.001984;0.008;0.003;0.000;253.64
16;0.002011;0.008;0.003;0.000;245.70
16;0.002052;0.000;0.003;0.008;249.70
16;0.002003;0.008;0.005;0.000;151.75
16;0.002103;0.008;0.003;0.000;252.08
16;0.002463;0.004;0.004;0.004;221.12
16;0.002074;0.004;0.003;0.004;246.24
16;0.002105;0.008;0.003;0.000;237.53
16;0.002037;0.008;0.003;0.000;249.23
16;0.002005;0.008;0.003;0.000;264.98
16;0.002719;0.004;0.004;0.004;221.39
16;0.001966;0.008;0.003;0.000;263.88
16;0.002144;0.000;0.003;0.008;246.79
16;0.001938;0.008;0.003;0.000;274.44
16;0.001963;0.008;0.003;0.000;261.99
16;0.002025;0.000;0.003;0.008;267.33
16;0.001949;0.002;0.003;0.006;257.93
16;0.002025;0.008;0.003;0.000;265.82
16;0.001924;0.008;0.003;0.000;272.80
16;0.001949;0.000;0.003;0.008;266.00
16;0.001871;0.008;0.003;0.000;270.29
16;0.001891;0.008;0.003;0.000;273.99
16;0.002016;0.008;0.003;0.000;265.13
16;0.002104;0.004;0.003;0.004;260.10
16;0.001929;0.008;0.003;0.000;263.81
16;0.001953;0.000;0.004;0.008;188.41
16;0.001889;0.006;0.003;0.001;263.33
16;0.002036;0.008;0.004;0.000;193.44
16;0.002002;0.008;0.003;0.000;264.34
16;0.001818;0.008;0.003;0.000;267.33
16;0.001772;0.008;0.003;0.000;286.63
16;0.001914;0.007;0.003;0.000;259.69
16;0.001845;0.000;0.003;0.007;273.12
16;0.001981;0.008;0.003;0.000;257.37
16;0.002209;0.003;0.003;0.005;240.33
16;0.001939;0.008;0.003;0.000;277.40
16;0.002193;0.008;0.005;0.000;166.96
16;0.001874;0.000;0.003;0.007;266.98
16;0.002871;0.005;0.004;0.002;188.96
16;0.001905;0.006;0.003;0.002;254.01
16;0.002082;0.005;0.003;0.003;256.82
16;0.001953;0.008;0.003;0.000;267.25
16;0.001961;0.000;0.003;0.008;259.82
16;0.001947;0.008;0.003;0.000;264.62
16;0.001883;0.008;0.003;0.000;276.15
16;0.001933;0.007;0.003;0.000;250.35
