nThread;timeInt;user;real;sys;pCPU
32;0.003653;0.014;0.005;0.000;287.46
32;0.003813;0.010;0.006;0.005;273.62
32;0.003633;0.014;0.005;0.000;294.30
32;0.003783;0.008;0.005;0.006;274.10
32;0.003687;0.007;0.005;0.007;283.76
32;0.003940;0.015;0.005;0.000;277.60
32;0.003405;0.011;0.005;0.002;291.58
32;0.003356;0.014;0.005;0.000;299.89
32;0.004010;0.011;0.006;0.004;249.06
32;0.003718;0.000;0.005;0.014;289.86
32;0.003921;0.014;0.005;0.000;268.50
32;0.003503;0.011;0.005;0.003;286.14
32;0.004272;0.014;0.006;0.000;258.09
32;0.003581;0.010;0.005;0.005;289.50
32;0.003774;0.000;0.005;0.014;280.18
32;0.003924;0.015;0.005;0.000;276.37
32;0.003578;0.010;0.005;0.004;301.67
32;0.004131;0.008;0.005;0.007;272.45
32;0.003514;0.014;0.005;0.000;291.45
32;0.004411;0.007;0.006;0.007;255.95
32;0.003732;0.015;0.005;0.000;279.60
32;0.003416;0.004;0.005;0.011;300.33
32;0.003795;0.005;0.005;0.009;272.25
32;0.003804;0.014;0.005;0.000;280.48
32;0.003787;0.005;0.005;0.009;280.75
32;0.003592;0.015;0.006;0.000;236.50
32;0.003498;0.007;0.005;0.007;289.12
32;0.006278;0.014;0.008;0.000;188.97
32;0.003609;0.014;0.005;0.000;293.29
32;0.003991;0.008;0.006;0.007;267.54
32;0.004066;0.014;0.006;0.000;223.51
32;0.004359;0.007;0.006;0.007;237.14
32;0.004399;0.000;0.006;0.015;255.56
32;0.003590;0.014;0.007;0.000;216.40
32;0.003532;0.005;0.005;0.010;295.53
32;0.003901;0.007;0.005;0.007;276.82
32;0.003662;0.006;0.005;0.008;296.69
32;0.003876;0.014;0.005;0.000;274.12
32;0.003639;0.013;0.005;0.002;284.75
32;0.003581;0.000;0.005;0.014;286.52
32;0.004021;0.015;0.006;0.000;266.31
32;0.003351;0.005;0.005;0.009;293.24
32;0.004106;0.007;0.006;0.007;261.05
32;0.003476;0.006;0.005;0.008;304.94
32;0.003729;0.000;0.005;0.014;287.51
32;0.003655;0.014;0.006;0.000;254.76
32;0.003601;0.005;0.005;0.009;289.10
32;0.003811;0.015;0.005;0.000;284.61
32;0.003815;0.008;0.005;0.006;282.18
32;0.004051;0.015;0.005;0.000;271.80
32;0.003389;0.009;0.005;0.005;290.71
32;0.003768;0.000;0.005;0.014;278.49
32;0.004635;0.006;0.006;0.008;246.75
32;0.003387;0.000;0.005;0.014;288.85
32;0.004128;0.015;0.006;0.000;251.51
32;0.003875;0.000;0.005;0.014;273.13
32;0.003600;0.014;0.005;0.000;289.21
32;0.003796;0.013;0.005;0.002;274.82
32;0.003460;0.000;0.005;0.014;301.44
32;0.005036;0.011;0.006;0.004;229.86
32;0.003665;0.007;0.005;0.007;290.70
32;0.003799;0.014;0.005;0.000;283.98
32;0.003247;0.010;0.005;0.005;304.70
32;0.003625;0.014;0.005;0.000;286.46
32;0.003686;0.012;0.005;0.002;267.51
32;0.003619;0.007;0.005;0.007;293.13
32;0.004189;0.015;0.006;0.000;253.61
32;0.003622;0.005;0.005;0.009;288.99
32;0.004043;0.014;0.005;0.000;273.25
32;0.003598;0.013;0.007;0.002;223.04
32;0.003415;0.009;0.005;0.005;302.48
32;0.003966;0.009;0.005;0.006;274.46
32;0.004192;0.015;0.006;0.000;267.63
32;0.003759;0.010;0.005;0.005;283.67
32;0.003800;0.015;0.006;0.000;252.28
32;0.003525;0.004;0.005;0.011;293.79
32;0.004225;0.015;0.006;0.000;254.67
32;0.003751;0.009;0.005;0.005;289.08
32;0.003626;0.014;0.005;0.000;290.71
32;0.003657;0.014;0.005;0.000;282.69
32;0.003402;0.005;0.005;0.009;288.74
32;0.003537;0.000;0.005;0.014;290.28
32;0.003520;0.014;0.005;0.000;288.40
32;0.008265;0.006;0.010;0.010;162.71
32;0.003828;0.007;0.006;0.007;243.09
32;0.004703;0.000;0.006;0.014;230.94
32;0.004121;0.011;0.005;0.003;253.23
32;0.006485;0.007;0.008;0.007;188.69
32;0.003562;0.007;0.005;0.007;294.53
32;0.003825;0.014;0.005;0.000;273.53
32;0.003838;0.011;0.005;0.004;282.28
32;0.004045;0.014;0.005;0.000;261.81
32;0.003604;0.010;0.005;0.004;288.29
32;0.003804;0.000;0.006;0.014;250.10
32;0.003788;0.008;0.005;0.006;285.78
32;0.003530;0.014;0.005;0.000;297.53
32;0.004113;0.015;0.006;0.000;265.01
32;0.003713;0.010;0.005;0.004;287.33
32;0.004110;0.007;0.006;0.007;261.42
32;0.003504;0.014;0.005;0.000;295.54
32;0.003823;0.012;0.005;0.003;280.50
32;0.004169;0.015;0.005;0.000;270.97
32;0.003493;0.008;0.005;0.006;292.96
32;0.003832;0.011;0.005;0.004;278.63
32;0.003641;0.005;0.005;0.010;290.20
32;0.003774;0.000;0.005;0.014;275.73
32;0.003438;0.014;0.005;0.000;265.49
32;0.003340;0.014;0.005;0.000;302.29
32;0.004990;0.015;0.007;0.000;222.43
32;0.003693;0.000;0.005;0.014;283.58
32;0.003842;0.000;0.005;0.014;279.82
32;0.003434;0.012;0.005;0.002;294.18
32;0.003959;0.007;0.005;0.007;253.24
32;0.004088;0.011;0.005;0.004;266.81
32;0.003690;0.015;0.005;0.000;293.13
32;0.007692;0.015;0.009;0.000;169.35
32;0.004193;0.015;0.006;0.000;270.28
32;0.003656;0.013;0.005;0.002;294.31
32;0.004020;0.008;0.005;0.007;272.66
