nThread;timeInt;user;real;sys;pCPU
8;0.015400;0.104;0.016;0.000;639.51
8;0.011214;0.050;0.012;0.029;652.86
8;0.008757;0.061;0.010;0.000;633.24
8;0.001068;0.009;0.002;0.000;487.75
8;0.001047;0.009;0.002;0.000;421.17
8;0.004274;0.031;0.005;0.000;604.34
8;0.006105;0.044;0.007;0.000;629.00
8;0.001055;0.009;0.002;0.000;475.56
8;0.003957;0.029;0.005;0.000;613.12
8;0.002795;0.021;0.004;0.000;529.59
8;0.008751;0.063;0.010;0.000;645.34
8;0.007755;0.056;0.009;0.000;646.84
8;0.001171;0.009;0.002;0.000;418.37
8;0.001007;0.009;0.002;0.000;462.64
8;0.001062;0.009;0.002;0.000;485.87
8;0.006441;0.020;0.007;0.026;625.46
8;0.011747;0.081;0.013;0.000;645.67
8;0.000994;0.008;0.002;0.000;471.99
8;0.007839;0.056;0.009;0.000;647.23
8;0.010695;0.076;0.012;0.000;657.84
8;0.008410;0.060;0.009;0.000;644.77
8;0.001003;0.000;0.002;0.008;446.89
8;0.001047;0.009;0.002;0.000;465.84
8;0.001011;0.008;0.002;0.000;467.12
8;0.003182;0.022;0.004;0.000;536.97
8;0.001096;0.008;0.002;0.002;477.01
8;0.001083;0.009;0.002;0.000;457.48
8;0.000988;0.008;0.002;0.000;460.27
8;0.011583;0.074;0.012;0.000;593.40
8;0.001122;0.009;0.002;0.000;463.08
8;0.010485;0.069;0.011;0.000;607.56
8;0.011948;0.084;0.013;0.000;657.15
8;0.009749;0.066;0.011;0.000;617.07
8;0.008247;0.056;0.009;0.003;645.13
8;0.011769;0.081;0.013;0.000;643.99
8;0.001052;0.009;0.002;0.000;451.81
8;0.001048;0.009;0.002;0.000;482.04
8;0.001216;0.010;0.002;0.000;485.74
8;0.011095;0.067;0.012;0.000;555.01
8;0.004342;0.030;0.005;0.000;572.42
8;0.013030;0.084;0.014;0.000;599.51
8;0.011577;0.081;0.012;0.000;647.81
8;0.011541;0.082;0.012;0.000;661.89
8;0.011653;0.082;0.013;0.000;650.29
8;0.016502;0.086;0.017;0.027;652.91
8;0.006933;0.048;0.008;0.000;610.73
8;0.001023;0.009;0.002;0.000;469.25
8;0.008379;0.054;0.009;0.000;590.74
8;0.002785;0.020;0.004;0.000;541.94
8;0.040702;0.202;0.042;0.000;483.95
8;0.019770;0.108;0.021;0.000;516.89
8;0.011700;0.073;0.013;0.000;578.20
8;0.001513;0.012;0.002;0.000;499.83
8;0.006686;0.048;0.008;0.000;636.78
8;0.000991;0.008;0.002;0.000;469.09
8;0.000994;0.008;0.002;0.000;448.75
8;0.001100;0.000;0.002;0.009;457.28
8;0.007438;0.039;0.008;0.014;631.80
8;0.010772;0.075;0.012;0.000;648.29
8;0.007307;0.048;0.008;0.000;585.69
8;0.002101;0.016;0.003;0.000;560.02
8;0.010616;0.070;0.011;0.000;613.48
8;0.011568;0.077;0.012;0.000;621.79
8;0.009718;0.049;0.011;0.019;649.00
8;0.001021;0.009;0.002;0.000;479.05
8;0.000983;0.008;0.002;0.000;462.80
8;0.001022;0.000;0.002;0.009;477.88
8;0.011427;0.077;0.012;0.004;655.61
8;0.010138;0.066;0.011;0.000;601.53
8;0.010137;0.066;0.011;0.005;644.80
8;0.001007;0.009;0.002;0.000;461.39
8;0.008122;0.053;0.009;0.004;635.98
8;0.006803;0.049;0.008;0.000;635.63
8;0.000988;0.008;0.002;0.000;474.17
8;0.005387;0.036;0.006;0.000;567.57
8;0.002104;0.016;0.003;0.000;543.01
8;0.002523;0.019;0.003;0.000;574.64
8;0.002796;0.021;0.004;0.000;573.17
8;0.002348;0.018;0.003;0.000;568.08
8;0.002913;0.022;0.004;0.000;585.57
8;0.001056;0.009;0.002;0.000;471.51
8;0.011663;0.082;0.013;0.000;651.97
8;0.014705;0.093;0.016;0.000;596.77
8;0.010478;0.054;0.011;0.020;653.71
8;0.000989;0.008;0.002;0.000;471.17
8;0.000999;0.008;0.002;0.000;461.23
8;0.013959;0.098;0.015;0.000;662.64
8;0.011667;0.083;0.013;0.000;655.94
8;0.009834;0.068;0.011;0.000;640.64
8;0.011639;0.082;0.012;0.000;660.75
8;0.001032;0.000;0.002;0.008;446.79
8;0.007754;0.055;0.009;0.000;638.84
8;0.010417;0.071;0.011;0.000;626.04
8;0.011606;0.081;0.012;0.000;651.92
8;0.001103;0.009;0.002;0.000;469.04
8;0.000992;0.008;0.002;0.000;440.58
8;0.006702;0.033;0.008;0.007;517.73
8;0.001028;0.009;0.002;0.000;465.88
8;0.001427;0.011;0.002;0.000;483.96
8;0.006516;0.047;0.007;0.000;635.44
8;0.011627;0.082;0.012;0.000;653.04
8;0.011662;0.081;0.013;0.000;650.72
8;0.001118;0.004;0.002;0.006;489.03
8;0.006705;0.048;0.007;0.000;645.90
8;0.011764;0.081;0.013;0.000;633.84
8;0.038056;0.257;0.039;0.000;659.87
8;0.026318;0.180;0.027;0.000;663.71
8;0.026153;0.183;0.027;0.000;676.49
8;0.033790;0.236;0.035;0.000;681.41
8;0.019906;0.128;0.021;0.000;614.66
8;0.009707;0.059;0.011;0.003;577.52
8;0.010337;0.063;0.011;0.003;586.88
8;0.010400;0.067;0.011;0.005;635.91
8;0.035881;0.233;0.037;0.000;633.78
8;0.022230;0.150;0.023;0.000;651.85
8;0.011752;0.082;0.013;0.000;647.30
8;0.011623;0.082;0.013;0.000;655.66
