nThread;timeInt;user;real;sys;pCPU
1;0.001772;0.003;0.003;0.000;102.68
1;0.001767;0.003;0.003;0.000;102.85
1;0.001793;0.003;0.003;0.000;102.74
1;0.001749;0.000;0.003;0.003;102.83
1;0.001775;0.003;0.003;0.000;102.69
1;0.001760;0.003;0.003;0.000;102.76
1;0.001787;0.003;0.003;0.000;102.83
1;0.001763;0.003;0.003;0.000;102.65
1;0.001765;0.003;0.003;0.000;102.71
1;0.001783;0.000;0.003;0.003;102.79
1;0.001768;0.003;0.003;0.000;102.65
1;0.001783;0.000;0.003;0.003;102.87
1;0.001797;0.003;0.003;0.000;102.75
1;0.001782;0.000;0.003;0.003;102.92
1;0.001743;0.000;0.003;0.003;102.65
1;0.001765;0.003;0.003;0.000;102.88
1;0.001747;0.000;0.003;0.003;102.80
1;0.001816;0.004;0.004;0.000;102.52
1;0.001750;0.000;0.003;0.003;102.64
1;0.002180;0.004;0.004;0.000;102.36
1;0.001774;0.000;0.003;0.003;102.92
1;0.001761;0.003;0.003;0.000;102.78
1;0.001761;0.003;0.003;0.000;102.67
1;0.001760;0.003;0.003;0.000;102.66
1;0.001766;0.000;0.003;0.003;102.71
1;0.001751;0.000;0.003;0.003;102.82
1;0.001777;0.004;0.003;0.000;102.68
1;0.001755;0.003;0.003;0.000;102.88
1;0.002073;0.000;0.004;0.003;102.46
1;0.001753;0.003;0.003;0.000;102.93
1;0.001784;0.000;0.003;0.003;102.69
1;0.001763;0.003;0.003;0.000;102.72
1;0.001789;0.003;0.003;0.000;102.58
1;0.001764;0.000;0.003;0.003;102.84
1;0.001755;0.003;0.003;0.000;102.81
1;0.001765;0.003;0.003;0.000;102.86
1;0.001777;0.003;0.003;0.000;102.63
1;0.001785;0.000;0.003;0.003;102.89
1;0.001766;0.003;0.003;0.000;101.60
1;0.001753;0.003;0.003;0.000;102.93
1;0.001763;0.003;0.003;0.000;102.65
1;0.001777;0.000;0.003;0.003;102.88
1;0.001766;0.000;0.003;0.003;102.41
1;0.001772;0.003;0.003;0.000;102.78
1;0.001767;0.000;0.003;0.003;102.66
1;0.001775;0.003;0.003;0.000;102.64
1;0.001761;0.000;0.003;0.003;102.78
1;0.001795;0.000;0.003;0.003;102.90
1;0.001783;0.003;0.003;0.000;102.87
1;0.001773;0.003;0.003;0.000;102.86
1;0.001771;0.003;0.003;0.000;102.89
1;0.001758;0.003;0.003;0.000;102.67
1;0.001785;0.003;0.003;0.000;102.80
1;0.001775;0.000;0.003;0.003;102.91
1;0.001778;0.003;0.003;0.000;102.91
1;0.001866;0.004;0.004;0.000;100.94
1;0.001806;0.003;0.003;0.000;102.96
1;0.001741;0.000;0.003;0.003;102.89
1;0.001764;0.000;0.003;0.003;102.74
1;0.001782;0.003;0.003;0.000;102.82
1;0.001764;0.003;0.003;0.000;102.76
1;0.001817;0.000;0.003;0.003;102.77
1;0.001769;0.003;0.003;0.000;102.96
1;0.001787;0.003;0.003;0.000;102.72
1;0.001758;0.000;0.003;0.003;102.68
1;0.001764;0.003;0.003;0.000;102.93
1;0.001742;0.003;0.003;0.000;102.88
1;0.001763;0.000;0.003;0.003;103.06
1;0.001762;0.003;0.003;0.000;102.76
1;0.001768;0.003;0.003;0.000;102.86
1;0.001758;0.003;0.003;0.000;102.90
1;0.001770;0.004;0.004;0.000;99.97
1;0.001785;0.003;0.003;0.000;102.63
1;0.001777;0.003;0.003;0.000;102.97
1;0.001802;0.003;0.003;0.000;102.69
1;0.001760;0.000;0.003;0.003;102.66
1;0.001782;0.003;0.003;0.000;102.92
1;0.001741;0.003;0.003;0.000;102.75
1;0.001802;0.004;0.003;0.000;102.87
1;0.001743;0.000;0.003;0.003;102.76
1;0.001762;0.003;0.003;0.000;102.68
1;0.001754;0.000;0.003;0.003;102.75
1;0.001877;0.004;0.004;0.000;102.59
1;0.001808;0.000;0.003;0.003;101.76
