nThread;timeInt;user;real;sys;pCPU
32;0.006508;0.012;0.008;0.012;276.95
32;0.005988;0.012;0.008;0.012;296.83
32;0.007029;0.015;0.009;0.009;261.83
32;0.006031;0.016;0.008;0.008;291.12
32;0.006107;0.005;0.008;0.019;288.60
32;0.005764;0.016;0.008;0.008;310.41
32;0.005956;0.014;0.008;0.009;299.35
32;0.006060;0.024;0.008;0.000;296.36
32;0.006155;0.012;0.008;0.012;289.41
32;0.006249;0.015;0.008;0.009;291.06
32;0.005829;0.011;0.008;0.013;300.56
32;0.005918;0.010;0.008;0.013;299.91
32;0.006500;0.012;0.009;0.012;278.77
32;0.006251;0.012;0.008;0.012;295.27
32;0.007237;0.008;0.009;0.016;256.25
32;0.006375;0.012;0.008;0.012;285.50
32;0.005845;0.023;0.008;0.000;296.40
32;0.006015;0.011;0.008;0.013;298.39
32;0.006871;0.011;0.009;0.013;266.79
32;0.006080;0.016;0.008;0.008;298.30
32;0.005911;0.009;0.008;0.015;297.47
32;0.006492;0.012;0.008;0.012;281.16
32;0.006031;0.012;0.008;0.012;296.25
32;0.006170;0.016;0.008;0.008;291.04
32;0.005744;0.009;0.008;0.014;301.90
32;0.005703;0.016;0.008;0.008;305.41
32;0.006227;0.012;0.008;0.012;286.23
32;0.006031;0.024;0.008;0.000;299.73
32;0.007449;0.012;0.009;0.012;257.51
32;0.006038;0.016;0.008;0.008;294.42
32;0.006462;0.024;0.008;0.000;278.23
32;0.006031;0.016;0.008;0.008;292.42
32;0.005904;0.008;0.008;0.016;294.83
32;0.005941;0.012;0.008;0.012;299.74
32;0.006916;0.008;0.009;0.015;263.94
32;0.005976;0.012;0.008;0.012;293.54
32;0.006370;0.012;0.008;0.012;279.54
32;0.005997;0.015;0.008;0.009;298.05
32;0.006145;0.019;0.008;0.005;293.45
32;0.006117;0.011;0.008;0.013;298.74
32;0.006143;0.012;0.008;0.012;287.65
32;0.005862;0.024;0.008;0.000;299.93
32;0.006115;0.016;0.008;0.008;286.19
32;0.006367;0.016;0.008;0.008;286.07
32;0.005975;0.018;0.008;0.005;293.22
32;0.006222;0.004;0.008;0.020;294.62
32;0.006264;0.012;0.008;0.012;284.42
32;0.006300;0.012;0.008;0.012;289.08
32;0.005758;0.012;0.008;0.011;298.18
32;0.006095;0.008;0.008;0.016;296.68
32;0.006084;0.014;0.008;0.009;288.96
32;0.006023;0.012;0.008;0.012;300.06
32;0.006153;0.016;0.008;0.008;288.15
32;0.006267;0.024;0.008;0.000;290.48
32;0.006898;0.012;0.009;0.012;267.25
32;0.005930;0.000;0.008;0.023;295.59
32;0.005866;0.008;0.008;0.016;298.13
32;0.005669;0.017;0.008;0.007;304.80
32;0.006182;0.011;0.008;0.012;283.38
32;0.005789;0.012;0.008;0.012;304.13
32;0.006513;0.000;0.009;0.023;276.57
32;0.006134;0.008;0.008;0.016;291.14
32;0.006204;0.012;0.008;0.012;285.56
32;0.005952;0.012;0.008;0.012;301.49
32;0.007040;0.021;0.009;0.003;272.06
32;0.006061;0.023;0.008;0.000;293.67
32;0.006738;0.012;0.009;0.012;274.70
32;0.007227;0.012;0.009;0.012;266.54
32;0.006328;0.024;0.008;0.000;282.11
32;0.006002;0.016;0.008;0.008;301.13
32;0.006053;0.010;0.008;0.014;292.98
32;0.006215;0.024;0.008;0.000;293.16
32;0.006044;0.010;0.008;0.014;296.77
32;0.006247;0.012;0.008;0.012;288.72
32;0.006153;0.024;0.008;0.000;291.61
32;0.006438;0.024;0.008;0.000;287.52
32;0.006303;0.012;0.008;0.012;280.45
32;0.005984;0.013;0.008;0.010;296.27
32;0.006225;0.021;0.008;0.003;286.63
32;0.005928;0.015;0.008;0.009;306.31
32;0.006321;0.008;0.008;0.016;288.60
32;0.006082;0.024;0.008;0.000;295.06
32;0.006733;0.018;0.009;0.006;280.61
