nThread;timeInt;user;real;sys;pCPU
1;0.070868;0.258;0.266;0.008;100.01
1;0.070531;0.262;0.262;0.000;100.01
1;0.070702;0.264;0.264;0.000;100.01
1;0.070398;0.258;0.262;0.004;100.01
1;0.070817;0.273;0.281;0.008;100.01
1;0.070767;0.258;0.262;0.004;100.01
1;0.070413;0.250;0.262;0.012;100.01
1;0.070804;0.254;0.262;0.008;100.01
1;0.070350;0.250;0.262;0.012;100.01
1;0.070723;0.262;0.262;0.000;100.01
1;0.071152;0.255;0.263;0.008;100.01
1;0.071321;0.247;0.263;0.016;100.01
1;0.070372;0.250;0.262;0.012;100.01
1;0.070460;0.262;0.262;0.000;100.01
1;0.070279;0.254;0.262;0.008;100.01
1;0.071551;0.251;0.263;0.012;100.01
1;0.070327;0.250;0.262;0.012;100.01
1;0.070392;0.250;0.262;0.012;100.01
1;0.070363;0.250;0.262;0.012;100.01
1;0.070273;0.254;0.262;0.008;100.01
1;0.070188;0.254;0.262;0.008;100.01
1;0.070359;0.250;0.262;0.012;100.01
1;0.070389;0.262;0.262;0.000;100.01
1;0.070406;0.250;0.262;0.012;100.01
1;0.070971;0.259;0.263;0.004;100.01
1;0.070335;0.254;0.262;0.008;100.01
1;0.070362;0.264;0.264;0.000;100.01
1;0.070833;0.254;0.262;0.008;100.01
1;0.070972;0.247;0.262;0.016;100.01
1;0.070303;0.246;0.262;0.016;100.01
1;0.070553;0.258;0.262;0.004;100.01
1;0.070346;0.246;0.262;0.016;100.01
1;0.070339;0.254;0.262;0.008;100.01
1;0.070318;0.246;0.262;0.016;100.00
1;0.070292;0.258;0.262;0.004;100.01
1;0.070385;0.262;0.262;0.000;100.01
1;0.070973;0.259;0.263;0.004;100.01
1;0.070355;0.254;0.262;0.008;100.01
1;0.070536;0.250;0.263;0.012;99.90
1;0.070266;0.262;0.262;0.000;100.01
1;0.070847;0.251;0.263;0.012;100.01
1;0.070405;0.258;0.262;0.004;100.01
1;0.070224;0.254;0.262;0.008;100.01
1;0.070229;0.262;0.262;0.000;100.01
1;0.070202;0.262;0.262;0.000;100.01
1;0.070678;0.239;0.263;0.024;99.98
1;0.070350;0.262;0.262;0.000;100.01
1;0.070176;0.242;0.262;0.020;100.01
1;0.070193;0.246;0.262;0.016;100.01
1;0.072779;0.256;0.264;0.008;100.01
1;0.070434;0.258;0.262;0.004;100.00
1;0.070636;0.254;0.262;0.008;100.01
1;0.071430;0.259;0.263;0.004;100.01
1;0.070318;0.254;0.262;0.008;100.01
1;0.070381;0.246;0.262;0.016;100.01
1;0.070514;0.254;0.262;0.008;100.01
1;0.072846;0.256;0.264;0.008;100.01
1;0.071493;0.251;0.263;0.012;100.01
1;0.071425;0.259;0.263;0.004;99.99
1;0.070280;0.246;0.262;0.016;100.01
1;0.070360;0.242;0.262;0.020;100.01
1;0.070521;0.250;0.262;0.012;100.01
1;0.073249;0.261;0.265;0.004;100.01
1;0.073041;0.253;0.265;0.012;100.01
1;0.070285;0.258;0.262;0.004;100.01
1;0.070437;0.256;0.264;0.008;99.99
1;0.073154;0.257;0.265;0.008;100.01
1;0.073833;0.280;0.284;0.004;100.01
1;0.073099;0.253;0.265;0.012;100.01
1;0.070341;0.250;0.262;0.012;100.01
1;0.070408;0.250;0.262;0.012;100.01
1;0.070279;0.254;0.262;0.008;100.01
1;0.070519;0.254;0.262;0.008;100.01
1;0.070450;0.246;0.262;0.016;100.01
1;0.070278;0.258;0.262;0.004;100.01
1;0.070322;0.254;0.262;0.008;100.01
1;0.070638;0.258;0.262;0.004;100.01
1;0.070387;0.258;0.262;0.004;100.01
1;0.071369;0.251;0.263;0.012;100.00
1;0.070653;0.238;0.262;0.024;100.01
1;0.070935;0.343;0.359;0.016;100.01
1;0.070523;0.242;0.262;0.020;100.01
1;0.071726;0.270;0.282;0.012;99.98
1;0.070761;0.242;0.262;0.020;100.00
1;0.070444;0.246;0.262;0.016;100.01
1;0.070411;0.254;0.262;0.008;100.01
1;0.070886;0.245;0.261;0.016;100.01
1;0.070403;0.254;0.262;0.008;100.01
1;0.070923;0.263;0.263;0.000;99.91
1;0.070619;0.246;0.262;0.016;100.01
1;0.070297;0.258;0.262;0.004;100.01
1;0.070404;0.258;0.262;0.004;100.01
1;0.070345;0.242;0.262;0.020;100.01
1;0.070332;0.254;0.262;0.008;100.01
1;0.070333;0.254;0.262;0.008;100.01
1;0.070550;0.258;0.262;0.004;100.01
1;0.070398;0.254;0.262;0.008;100.01
1;0.070326;0.254;0.262;0.008;100.01
1;0.073152;0.252;0.265;0.012;100.01
1;0.070586;0.258;0.262;0.004;100.01
1;0.070326;0.242;0.262;0.020;100.01
1;0.070363;0.258;0.262;0.004;100.01
1;0.070265;0.242;0.262;0.020;100.01
1;0.070360;0.250;0.262;0.012;100.01
1;0.070237;0.254;0.262;0.008;100.01
1;0.070643;0.251;0.263;0.012;99.90
1;0.070464;0.246;0.262;0.016;100.01
1;0.070183;0.254;0.262;0.008;100.01
1;0.070337;0.246;0.262;0.016;100.01
1;0.070509;0.258;0.262;0.004;100.01
1;0.070846;0.251;0.263;0.012;100.00
1;0.070313;0.258;0.262;0.004;100.01
1;0.070396;0.250;0.262;0.012;100.01
1;0.071252;0.251;0.263;0.012;100.01
1;0.070978;0.251;0.263;0.012;100.00
1;0.070651;0.258;0.262;0.004;100.01
1;0.070866;0.262;0.262;0.000;100.01
1;0.070306;0.254;0.262;0.008;100.01
1;0.070364;0.250;0.262;0.012;100.01
1;0.070861;0.247;0.262;0.016;100.01
1;0.070252;0.246;0.262;0.016;100.00
1;0.070414;0.256;0.264;0.008;100.01
1;0.070403;0.254;0.262;0.008;100.01
1;0.070588;0.262;0.262;0.000;100.01
1;0.071209;0.259;0.263;0.004;100.01
1;0.070603;0.258;0.262;0.004;100.01
1;0.070700;0.250;0.262;0.012;100.01
1;0.071179;0.254;0.265;0.012;100.01
1;0.070574;0.246;0.262;0.016;100.01
1;0.070821;0.259;0.263;0.004;100.01
1;0.070789;0.255;0.263;0.008;100.01
