nThread;timeInt;user;real;sys;pCPU
2;0.014350;0.211;0.203;0.008;107.78
2;0.014080;0.210;0.203;0.008;107.65
2;0.014407;0.211;0.203;0.008;107.79
2;0.014151;0.207;0.203;0.012;107.68
2;0.014112;0.211;0.203;0.008;107.68
2;0.014270;0.211;0.203;0.008;107.75
2;0.014457;0.211;0.203;0.008;107.83
2;0.014678;0.212;0.203;0.008;107.92
2;0.014366;0.211;0.203;0.008;107.77
2;0.014116;0.199;0.203;0.020;107.68
2;0.014480;0.211;0.203;0.008;107.83
2;0.014164;0.207;0.203;0.012;107.69
2;0.014138;0.206;0.203;0.012;107.69
2;0.014335;0.215;0.203;0.004;107.77
2;0.014047;0.218;0.203;0.000;107.64
2;0.014457;0.203;0.203;0.016;107.82
2;0.014010;0.210;0.203;0.008;107.62
2;0.014103;0.214;0.203;0.004;107.67
2;0.014254;0.199;0.203;0.020;107.72
2;0.013140;0.201;0.202;0.016;107.23
2;0.013186;0.216;0.202;0.000;107.23
2;0.014017;0.210;0.203;0.008;107.61
2;0.014088;0.214;0.203;0.004;107.66
2;0.014111;0.218;0.203;0.000;107.68
2;0.014534;0.219;0.203;0.000;107.87
2;0.014131;0.210;0.203;0.008;107.68
2;0.014324;0.219;0.203;0.000;107.77
2;0.014069;0.198;0.203;0.020;107.66
2;0.014115;0.202;0.203;0.016;107.68
2;0.014125;0.214;0.203;0.004;107.68
2;0.014019;0.198;0.203;0.020;107.61
2;0.014467;0.211;0.203;0.008;107.81
2;0.014056;0.202;0.203;0.016;107.64
2;0.014220;0.218;0.203;0.000;107.73
2;0.014129;0.218;0.203;0.000;107.67
2;0.014047;0.203;0.203;0.016;107.63
2;0.014226;0.215;0.203;0.004;107.71
2;0.014205;0.202;0.203;0.016;107.70
2;0.014074;0.214;0.203;0.004;107.66
2;0.014120;0.211;0.203;0.008;107.67
2;0.014052;0.210;0.203;0.008;107.64
2;0.014021;0.214;0.203;0.004;107.63
2;0.014112;0.210;0.203;0.008;107.67
2;0.014110;0.214;0.203;0.004;107.64
2;0.014031;0.210;0.203;0.008;107.63
2;0.014267;0.203;0.203;0.016;107.73
