nThread;timeInt;user;real;sys;pCPU
8;0.011541;0.284;0.200;0.011;147.38
8;0.011483;0.285;0.199;0.008;147.70
8;0.011587;0.291;0.199;0.004;148.12
8;0.011473;0.285;0.199;0.008;147.67
8;0.011458;0.271;0.199;0.023;147.76
8;0.011448;0.255;0.199;0.037;147.08
8;0.011436;0.277;0.199;0.017;147.64
8;0.011526;0.278;0.200;0.017;147.45
8;0.011505;0.286;0.199;0.008;148.05
8;0.011404;0.280;0.199;0.012;147.47
8;0.011449;0.290;0.199;0.004;147.68
8;0.011507;0.305;0.223;0.013;142.80
8;0.011462;0.285;0.199;0.008;147.69
8;0.011462;0.269;0.199;0.025;147.53
8;0.011417;0.285;0.200;0.008;147.08
8;0.011525;0.279;0.199;0.015;147.87
8;0.011431;0.282;0.199;0.011;147.60
8;0.011511;0.286;0.199;0.008;147.89
8;0.011484;0.281;0.199;0.013;147.84
8;0.011450;0.273;0.199;0.021;147.61
8;0.011497;0.271;0.199;0.023;147.89
8;0.011448;0.281;0.199;0.012;147.75
8;0.011516;0.273;0.199;0.021;147.93
8;0.011485;0.273;0.199;0.021;147.79
8;0.011444;0.278;0.199;0.015;147.73
8;0.011458;0.290;0.200;0.004;147.28
8;0.011429;0.296;0.202;0.000;146.91
8;0.011522;0.286;0.199;0.008;147.89
8;0.011398;0.285;0.200;0.008;147.07
8;0.011537;0.286;0.199;0.008;147.89
8;0.011416;0.271;0.199;0.023;147.49
8;0.011446;0.281;0.199;0.012;147.66
8;0.011530;0.290;0.199;0.004;148.02
8;0.011457;0.281;0.199;0.012;147.74
8;0.011441;0.290;0.199;0.004;147.64
8;0.011368;0.264;0.199;0.029;147.27
8;0.011475;0.281;0.199;0.013;147.75
8;0.011613;0.274;0.199;0.021;148.14
8;0.011436;0.285;0.199;0.008;147.60
8;0.011436;0.278;0.199;0.015;147.59
8;0.011468;0.289;0.199;0.004;147.75
8;0.011493;0.286;0.199;0.008;147.80
8;0.011558;0.291;0.200;0.004;147.60
8;0.011424;0.285;0.199;0.008;147.55
8;0.011422;0.275;0.199;0.019;147.67
8;0.011572;0.270;0.199;0.025;148.05
8;0.011362;0.287;0.200;0.008;147.29
8;0.011526;0.290;0.199;0.004;147.82
8;0.011469;0.285;0.199;0.008;147.74
8;0.011456;0.290;0.199;0.004;147.70
8;0.011436;0.290;0.199;0.004;147.61
8;0.011496;0.290;0.199;0.004;147.86
8;0.011462;0.281;0.199;0.013;147.72
8;0.011479;0.285;0.199;0.008;147.67
8;0.011453;0.290;0.199;0.004;147.67
8;0.011515;0.283;0.200;0.011;147.48
8;0.011467;0.290;0.199;0.004;147.83
8;0.011403;0.252;0.199;0.041;147.46
8;0.011459;0.290;0.199;0.004;147.77
8;0.011463;0.285;0.199;0.008;147.65
8;0.011531;0.283;0.199;0.011;148.05
8;0.011483;0.279;0.199;0.015;147.84
8;0.011528;0.281;0.199;0.013;147.86
8;0.011436;0.285;0.199;0.008;147.66
8;0.011484;0.277;0.199;0.017;147.78
8;0.011516;0.286;0.199;0.008;147.85
8;0.011366;0.285;0.199;0.008;147.50
8;0.011446;0.281;0.199;0.013;147.67
8;0.011429;0.285;0.199;0.008;147.58
8;0.011424;0.281;0.200;0.012;147.18
8;0.011434;0.282;0.199;0.011;147.59
8;0.011395;0.279;0.200;0.015;147.07
8;0.011466;0.282;0.199;0.011;147.56
8;0.011416;0.289;0.199;0.004;147.63
8;0.011583;0.286;0.199;0.008;148.16
8;0.011533;0.286;0.199;0.008;147.97
8;0.011494;0.283;0.200;0.012;147.72
8;0.011491;0.286;0.199;0.008;147.78
8;0.011494;0.280;0.200;0.015;147.47
8;0.011449;0.286;0.199;0.008;147.72
8;0.011562;0.290;0.199;0.004;148.00
8;0.011396;0.272;0.199;0.021;147.50
8;0.011556;0.295;0.200;0.000;147.64
8;0.011458;0.244;0.199;0.050;147.73
8;0.011468;0.286;0.200;0.008;147.33
8;0.011474;0.275;0.199;0.019;147.83
8;0.011536;0.280;0.200;0.015;147.46
8;0.011454;0.290;0.199;0.004;147.72
8;0.011378;0.289;0.199;0.004;147.43
8;0.011400;0.288;0.201;0.008;146.95
8;0.011448;0.290;0.199;0.004;147.77
