nThread;timeInt;user;real;sys;pCPU
2;0.014085;0.200;0.201;0.016;107.74
2;0.014094;0.212;0.201;0.004;107.76
2;0.014174;0.205;0.201;0.012;107.80
2;0.014219;0.205;0.201;0.012;107.81
2;0.014054;0.208;0.201;0.008;107.74
2;0.014174;0.209;0.201;0.008;107.81
2;0.013952;0.208;0.201;0.008;107.68
2;0.013271;0.211;0.200;0.004;107.37
2;0.014090;0.204;0.201;0.012;107.76
2;0.014225;0.197;0.201;0.020;107.81
2;0.014442;0.201;0.201;0.016;107.92
2;0.014408;0.205;0.201;0.012;107.90
2;0.014484;0.201;0.201;0.016;107.93
2;0.014229;0.213;0.201;0.004;107.82
2;0.014486;0.217;0.201;0.000;107.93
2;0.014186;0.209;0.202;0.008;107.63
2;0.014476;0.217;0.201;0.000;107.91
2;0.014181;0.205;0.201;0.012;107.78
2;0.014028;0.208;0.201;0.008;107.74
2;0.014042;0.204;0.201;0.012;107.73
2;0.014073;0.208;0.201;0.008;107.74
2;0.014121;0.212;0.201;0.004;107.76
2;0.014374;0.213;0.201;0.004;107.89
2;0.014069;0.204;0.201;0.012;107.75
2;0.014310;0.209;0.201;0.008;107.88
2;0.014249;0.204;0.201;0.012;107.84
2;0.014113;0.216;0.201;0.000;107.77
2;0.014124;0.212;0.200;0.004;107.79
2;0.014470;0.213;0.201;0.004;107.95
2;0.014145;0.196;0.201;0.020;107.80
2;0.013819;0.196;0.200;0.020;107.64
2;0.014345;0.217;0.201;0.000;107.89
2;0.014088;0.212;0.200;0.004;107.77
2;0.014222;0.201;0.201;0.016;107.84
2;0.014162;0.204;0.201;0.012;107.81
2;0.014665;0.213;0.201;0.004;108.03
2;0.014419;0.209;0.201;0.008;107.93
2;0.014138;0.200;0.200;0.016;107.80
2;0.013354;0.194;0.200;0.020;107.17
2;0.013155;0.190;0.200;0.024;107.35
2;0.014637;0.209;0.201;0.008;108.00
2;0.013975;0.216;0.200;0.000;107.71
2;0.014242;0.204;0.201;0.012;107.84
2;0.014276;0.204;0.201;0.012;107.86
2;0.014149;0.208;0.200;0.008;107.80
2;0.014122;0.212;0.201;0.004;107.78
2;0.014006;0.216;0.200;0.000;107.72
2;0.014605;0.197;0.201;0.020;108.01
2;0.014318;0.196;0.201;0.020;107.88
2;0.014491;0.209;0.201;0.008;107.96
2;0.014597;0.209;0.201;0.008;108.00
2;0.013121;0.194;0.200;0.021;107.33
2;0.014147;0.212;0.200;0.004;107.81
2;0.014249;0.212;0.201;0.004;107.85
2;0.014372;0.209;0.201;0.008;107.90
2;0.014217;0.204;0.201;0.012;107.81
2;0.014473;0.213;0.201;0.004;107.93
2;0.014252;0.212;0.201;0.004;107.84
2;0.014295;0.216;0.201;0.000;107.84
2;0.014516;0.213;0.201;0.004;107.97
2;0.014044;0.200;0.200;0.016;107.76
2;0.014288;0.217;0.201;0.000;107.84
2;0.014318;0.213;0.201;0.004;107.88
2;0.014266;0.205;0.201;0.012;107.83
2;0.014266;0.212;0.201;0.004;107.86
2;0.014188;0.208;0.201;0.008;107.81
2;0.014140;0.216;0.201;0.000;107.77
2;0.013543;0.215;0.200;0.000;107.52
2;0.014040;0.204;0.201;0.012;107.73
2;0.014328;0.209;0.202;0.008;107.70
2;0.014557;0.202;0.202;0.016;107.85
2;0.014581;0.210;0.202;0.008;107.78
2;0.014302;0.201;0.202;0.016;107.71
2;0.014359;0.213;0.202;0.004;107.71
2;0.014467;0.198;0.202;0.020;107.80
2;0.014356;0.205;0.202;0.012;107.74
2;0.014032;0.209;0.201;0.008;107.55
2;0.014153;0.213;0.201;0.004;107.59
2;0.014489;0.210;0.202;0.008;107.80
2;0.014312;0.209;0.202;0.008;107.70
2;0.014077;0.205;0.201;0.012;107.56
2;0.014778;0.210;0.202;0.008;107.92
2;0.014534;0.198;0.202;0.020;107.79
2;0.013952;0.212;0.201;0.004;107.51
2;0.014433;0.205;0.202;0.012;107.73
2;0.014168;0.209;0.201;0.008;107.59
2;0.014023;0.208;0.201;0.008;107.55
2;0.014496;0.217;0.202;0.000;107.82
2;0.014144;0.197;0.201;0.020;107.61
2;0.014376;0.213;0.202;0.004;107.75
2;0.014041;0.205;0.201;0.012;107.52
2;0.014349;0.209;0.202;0.008;107.74
2;0.014521;0.202;0.202;0.016;107.77
2;0.014279;0.209;0.202;0.008;107.66
2;0.014059;0.212;0.201;0.004;107.56
2;0.014053;0.212;0.200;0.004;107.76
2;0.014249;0.217;0.202;0.000;107.66
2;0.014068;0.197;0.201;0.020;107.55
2;0.014512;0.209;0.202;0.008;107.83
2;0.014249;0.209;0.201;0.008;107.64
2;0.014394;0.209;0.202;0.008;107.70
2;0.014062;0.200;0.201;0.016;107.57
2;0.014044;0.200;0.201;0.016;107.73
2;0.014591;0.206;0.202;0.012;107.82
2;0.014538;0.206;0.202;0.012;107.77
2;0.014306;0.209;0.201;0.008;107.86
2;0.014284;0.212;0.201;0.004;107.87
2;0.014156;0.196;0.201;0.020;107.81
2;0.014037;0.188;0.200;0.028;107.74
2;0.014116;0.216;0.201;0.000;107.77
2;0.014107;0.208;0.201;0.008;107.76
2;0.014084;0.212;0.200;0.004;107.78
2;0.014296;0.189;0.201;0.028;107.91
2;0.014056;0.204;0.200;0.012;107.75
2;0.014193;0.216;0.201;0.000;107.82
2;0.013999;0.208;0.200;0.008;107.73
2;0.014405;0.201;0.201;0.016;107.92
2;0.014084;0.200;0.200;0.016;107.78
2;0.014065;0.212;0.200;0.004;107.76
2;0.014152;0.212;0.200;0.004;107.79
2;0.014087;0.204;0.200;0.012;107.76
2;0.013990;0.208;0.200;0.008;107.73
2;0.014304;0.205;0.201;0.012;107.90
2;0.013182;0.210;0.200;0.004;107.35
2;0.014197;0.216;0.201;0.000;107.83
2;0.014465;0.201;0.201;0.016;107.99
2;0.013998;0.212;0.200;0.004;107.74
2;0.014332;0.209;0.201;0.008;107.94
2;0.014308;0.217;0.201;0.000;107.86
2;0.014050;0.204;0.200;0.012;107.74
2;0.014385;0.201;0.201;0.016;107.96
2;0.013243;0.226;0.219;0.008;106.73
2;0.014642;0.217;0.201;0.000;108.08
2;0.014124;0.204;0.200;0.012;107.77
2;0.014119;0.204;0.200;0.012;107.78
2;0.013181;0.206;0.200;0.008;107.35
2;0.014060;0.208;0.200;0.008;107.77
2;0.014424;0.205;0.201;0.012;107.97
2;0.014054;0.207;0.203;0.012;107.64
2;0.014348;0.208;0.201;0.008;107.88
2;0.014424;0.201;0.201;0.016;107.96
2;0.014013;0.200;0.200;0.016;107.74
2;0.013282;0.207;0.200;0.008;107.39
2;0.014143;0.208;0.201;0.008;107.80
2;0.014123;0.204;0.200;0.012;107.79
2;0.014161;0.200;0.200;0.016;107.82
2;0.014302;0.205;0.201;0.012;107.91
2;0.014321;0.209;0.201;0.008;107.91
2;0.014235;0.204;0.201;0.012;107.84
2;0.014176;0.201;0.201;0.016;107.80
2;0.014187;0.216;0.201;0.000;107.82
2;0.014412;0.213;0.201;0.004;107.96
2;0.013839;0.212;0.200;0.004;107.65
2;0.014027;0.200;0.201;0.016;107.73
